ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/07/405/021	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		14 tablets	Rasilez
EU/1/07/405/022	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		28 tablets	Rasilez
EU/1/07/405/023	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		30 tablets	Rasilez
EU/1/07/405/024	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		50 tablets	Rasilez
EU/1/07/405/025	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		56 tablets	Rasilez
EU/1/07/405/026	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		56 x 1 tablets (unit dose)	Rasilez
EU/1/07/405/027	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		90 tablets	Rasilez
EU/1/07/405/028	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		98 tablets	Rasilez
EU/1/07/405/029	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		98 (2 x 49 x 1) tablets (unit dose) (multipack)	Rasilez
EU/1/07/405/030	EMEA/H/C/000780	150 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		280 (20 x 14) tablets (multipack)	Rasilez
EU/1/07/405/031	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		14 tablets	Rasilez
EU/1/07/405/032	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		28 tablets	Rasilez
EU/1/07/405/033	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		30 tablets	Rasilez
EU/1/07/405/034	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		50 tablets	Rasilez
EU/1/07/405/035	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		56 tablets	Rasilez
EU/1/07/405/036	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		56 x 1 tablets (unit dose)	Rasilez
EU/1/07/405/037	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		90 tablets	Rasilez
EU/1/07/405/038	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		98 tablets	Rasilez
EU/1/07/405/039	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		98 (2 x 49 x 1) tablets (unit dose) (multipack)	Rasilez
EU/1/07/405/040	EMEA/H/C/000780	300 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		280 (20 x 14) tablets (multipack)	Rasilez
