codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
052187010	052187	LYNOZYFIC	5 mg - Concentrato per soluzione per infusione - Uso endovenoso - Flaconcino (vetro) 2,5 ml (2 mg/ml) - 1 flaconcino	LINVOSELTAMAB	LINVOSELTAMAB	5	milligrammi	Concentrato per soluzione per infusione	L01FX	REGENERON IRELAND DESIGNATED ACTIVITY COMPANY (DAC)	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
052187022	052187	LYNOZYFIC	200 mg - Concentrato per soluzione per infusione - Uso endovenoso - Flaconcino (vetro) 10 ml (20 mg/ml) - 1 flaconcino	LINVOSELTAMAB	LINVOSELTAMAB	200	milligrammi	Concentrato per soluzione per infusione	L01FX	REGENERON IRELAND DESIGNATED ACTIVITY COMPANY (DAC)	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
