ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/13/907/001	EMEA/H/C/002737	0.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		42 tablets	Adempas
EU/1/13/907/002	EMEA/H/C/002737	0.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		84 tablets	Adempas
EU/1/13/907/003	EMEA/H/C/002737	0.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		90 tablets	Adempas
EU/1/13/907/004	EMEA/H/C/002737	1 mg	Film-coated tablet	Oral use	blister (PP/alu)		42 tablets	Adempas
EU/1/13/907/005	EMEA/H/C/002737	1 mg	Film-coated tablet	Oral use	blister (PP/alu)		84 tablets	Adempas
EU/1/13/907/006	EMEA/H/C/002737	1 mg	Film-coated tablet	Oral use	blister (PP/alu)		90 tablets	Adempas
EU/1/13/907/007	EMEA/H/C/002737	1.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		42 tablets	Adempas
EU/1/13/907/008	EMEA/H/C/002737	1.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		84 tablets	Adempas
EU/1/13/907/009	EMEA/H/C/002737	1.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		90 tablets	Adempas
EU/1/13/907/010	EMEA/H/C/002737	2 mg	Film-coated tablet	Oral use	blister (PP/alu)		42 tablets	Adempas
EU/1/13/907/011	EMEA/H/C/002737	2 mg	Film-coated tablet	Oral use	blister (PP/alu)		84 tablets	Adempas
EU/1/13/907/012	EMEA/H/C/002737	2 mg	Film-coated tablet	Oral use	blister (PP/alu)		90 tablets	Adempas
EU/1/13/907/013	EMEA/H/C/002737	2.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		42 tablets	Adempas
EU/1/13/907/014	EMEA/H/C/002737	2.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		84 tablets	Adempas
EU/1/13/907/015	EMEA/H/C/002737	2.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		90 tablets	Adempas
EU/1/13/907/016	EMEA/H/C/002737	0.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		294 tablets	Adempas
EU/1/13/907/017	EMEA/H/C/002737	1 mg	Film-coated tablet	Oral use	blister (PP/alu)		294 tablets	Adempas
EU/1/13/907/018	EMEA/H/C/002737	1.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		294 tablets	Adempas
EU/1/13/907/019	EMEA/H/C/002737	2 mg	Film-coated tablet	Oral use	blister (PP/alu)		294 tablets	Adempas
EU/1/13/907/020	EMEA/H/C/002737	2.5 mg	Film-coated tablet	Oral use	blister (PP/alu)		294 tablets	Adempas
EU/1/13/907/021	EMEA/H/C/002737	0.15 mg/ml	Granules for oral suspension	Oral use	bottle (glass)		1 bottle + 1 water syringe of 100 ml + 1 bottle adaptor + 2 oral syringes of 5 ml + 2 oral syringes of 10 ml	Adempas
