codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
049274018	049274	1759241	1.5 ML inclisiran 189 MG/ML Prefilled Syringe [Leqvio]	2588269	EXACT	auto-linked from EMA 005333		2026-06-12
049274020	049274	1759241	1.5 ML inclisiran 189 MG/ML Prefilled Syringe [Leqvio]	2588269	EXACT	auto-linked from EMA 005333		2026-06-12
