ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/11/683/001	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		7 tablets	Sprimeo HCT
EU/1/11/683/002	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		14 tablets	Sprimeo HCT
EU/1/11/683/003	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		28 tablets	Sprimeo HCT
EU/1/11/683/004	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		30 tablets	Sprimeo HCT
EU/1/11/683/005	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		50 tablets	Sprimeo HCT
EU/1/11/683/006	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		56 tablets	Sprimeo HCT
EU/1/11/683/007	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		90 tablets (multipack)	Sprimeo HCT
EU/1/11/683/008	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		98 tablets (multipack)	Sprimeo HCT
EU/1/11/683/009	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		280 tablets (multipack)	Sprimeo HCT
EU/1/11/683/010	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		7 tablets	Sprimeo HCT
EU/1/11/683/011	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		14 tablets	Sprimeo HCT
EU/1/11/683/012	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		28 tablets	Sprimeo HCT
EU/1/11/683/013	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		30 tablets	Sprimeo HCT
EU/1/11/683/014	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		50 tablets	Sprimeo HCT
EU/1/11/683/015	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		56 tablets	Sprimeo HCT
EU/1/11/683/016	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		56 x 1 tablets	Sprimeo HCT
EU/1/11/683/017	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		90 tablets	Sprimeo HCT
EU/1/11/683/018	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		98 tablets	Sprimeo HCT
EU/1/11/683/019	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		98 x 1 tablets (multipack)	Sprimeo HCT
EU/1/11/683/020	EMEA/H/C/002421	150 mg / 12.5 mg	Film-coated tablet	Oral use	blister (PCTFE/PVC)		280 tablets (multipack)	Sprimeo HCT
EU/1/11/683/021	EMEA/H/C/002421	150 mg / 25 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		7 tablets	Sprimeo HCT
EU/1/11/683/022	EMEA/H/C/002421	150 mg / 25 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		14 tablets	Sprimeo HCT
EU/1/11/683/023	EMEA/H/C/002421	150 mg / 25 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		28 tablets	Sprimeo HCT
EU/1/11/683/024	EMEA/H/C/002421	150 mg / 25 mg	Film-coated tablet	Oral use	blister (PA/Al/PVC)		30 tablets	Sprimeo HCT
