ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/07/382/001	EMEA/H/C/000762	25 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	14 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/002	EMEA/H/C/000762	25 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	28 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/003	EMEA/H/C/000762	25 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	56 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/004	EMEA/H/C/000762	25 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	84 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/005	EMEA/H/C/000762	25 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	98 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/006	EMEA/H/C/000762	25 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	50 x 1 tablets (unit dose)		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/007	EMEA/H/C/000762	50 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	14 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/008	EMEA/H/C/000762	50 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	28 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/009	EMEA/H/C/000762	50 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	56 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
EU/1/07/382/010	EMEA/H/C/000762	50 mg	Film-coated tablet	Oral use	blister (PVC/PE/PVDC/alu)	84 tablets		xelevia	Xelevia	EU/1/07/382	sitagliptin	sitagliptin	A10BH01	Merck Sharp & Dohme B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/xelevia	Authorised
