ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/26/2022/001	EMEA/H/C/006416	20 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	4 ml	1 vial	Tuyory
EU/1/26/2022/002	EMEA/H/C/006416	20 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	4 ml	4 vials	Tuyory
EU/1/26/2022/003	EMEA/H/C/006416	20 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	10 ml	1 vial	Tuyory
EU/1/26/2022/004	EMEA/H/C/006416	20 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	10 ml	4 vials	Tuyory
EU/1/26/2022/005	EMEA/H/C/006416	20 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	20 ml	1 vial	Tuyory
EU/1/26/2022/006	EMEA/H/C/006416	20 mg/ml	Concentrate for solution for infusion	Intravenous use	vial (glass)	20 ml	4 vials	Tuyory
EU/1/26/2022/007	EMEA/H/C/006416	162 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.9 ml (180 mg/ml)	4 pre-filled syringes	Tuyory
EU/1/26/2022/008	EMEA/H/C/006416	162 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.9 ml (180 mg/ml)	12 (3 x 4) pre-filled syringes (multipack)	Tuyory
EU/1/26/2022/009	EMEA/H/C/006416	162 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in prefilled pen	0.9 ml (180 mg/ml)	4 pre-filled pens	Tuyory
EU/1/26/2022/010	EMEA/H/C/006416	162 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in prefilled pen	0.9 ml (180 mg/ml)	12 (3 x 4) pre-filled pens (multipack)	Tuyory
