brand_name	fda_name	fda_approval_date	eu_brand_name	eu_authorisation_holder
Wezlana	ustekinumab-auub	2023-10	Wezenla	Amgen Technology (Ireland) Uc
Selarsdi	ustekinumab-aekn	2024-04
Pyzchiva	ustekinumab-ttwe	2024-06	Pyzchiva	Samsung Bioepis Nl B.V.
Otulfi	ustekinumab-aauz	2024-09	Otulfi	Fresenius Kabi Deutschland Gmbh
Imuldosa	ustekinumab-srlf	2024-10	Imuldosa	Accord Healthcare S.L.U.
Yesintek	ustekinumab-kfce	2024-11	Yesintek	Biosimilar Collaborations Ireland Limited
Steqeyma	ustekinumab-stba	2024-12	Steqeyma	Celltrion Healthcare Hungary Kft
Starjemza	ustekinumab-hmny	2025-05
			Absimky	Accord Healthcare S.L.U.
			Eksunbi	Samsung Bioepis Nl B.V.
			Fymskina	Formycon Ag
			Qoyvolma	Celltrion Healthcare Hungary Kft
			Usgena	Stada Arzneimittel Ag
			Usrenty	Biosimilar Collaborations Ireland Limited
			Usymro	Elc Group S.R.O.
			Uzpruvo	Stada Arzneimittel Ag
