brand_name	fda_name	fda_approval_date	eu_brand_name	eu_authorisation_holder
Ahzantive	aflibercept-mrbb	2024-06	Ahzantive	Formycon Ag
Yesafili	aflibercept-jbvf	2024-05	Yesafili	Biosimilar Collaborations Ireland Limited
Opuviz	aflibercept-yszy	2024-05	Opuviz	Samsung Bioepis Nl B.V.
Pavblu	aflibercept-ayyh	2024-08	Pavblu	Amgen Technology (Ireland) Uc
Enzeevu	aflibercept-abzv	2024-08	Afqlir	Sandoz Gmbh
Eydenzelt	aflibercept-boav	2025-10	Eydenzelt	Celltrion Healthcare Hungary Kft
			Afiveg	Stada Arzneimittel Ag
			Baiama	Formycon Ag
			Eiyzey	Zaklady Farmaceutyczne Polpharma S.A.
			Mynzepli	Advanz Pharma Limited
			Vgenfli	Zaklady Farmaceutyczne Polpharma S.A.
