brand_name	fda_name	fda_approval_date	eu_brand_name	eu_authorisation_holder
Inflectra	infliximab-dyyb	2016-04	Inflectra	Pfizer Europe Ma Eeig
Renflexis	infliximab-abda	2017-05	Flixabi	Samsung Bioepis Nl B.V.
Ixifi	infliximab-qbtx	2017-12
Avsola	infliximab-axxq	2019-12
			Remsima	Celltrion Healthcare Hungary Kft
			Zessly	Sandoz Gmbh
