brand_name	fda_name	fda_approval_date	eu_brand_name	eu_authorisation_holder
Mvasi	bevacizumab-awwb	2017-09	Mvasi	Amgen Technology (Ireland) Uc
Zirabev	bevacizumab-bvzr	2019-06	Zirabev	Pfizer Europe Ma Eeig
Alymsys	bevacizumab-maly	2022-04	Alymsys	Mabxience Research S.L.
Vegzelma	bevacizumab-adcd	2022-09	Vegzelma	Celltrion Healthcare Hungary Kft
Avzivi	bevacizumab-tnjn	2023-12	Avzivi	Fgk Representative Service Gmbh
Jobevne	bevacizumab-nwgd	2025-04	Abevmy	Biosimilar Collaborations Ireland Limited
			Aybintio	Samsung Bioepis Nl B.V.
			Oyavas	Stada Arzneimittel Ag
