brand_name	fda_name	fda_approval_date	eu_brand_name	eu_authorisation_holder
Zarxio	filgrastim-sndz	2015-03	Zarzio	Sandoz Gmbh
Nivestym	filgrastim-aafi	2018-07	Nivestim	Pfizer Europe Ma Eeig
Releuko	filgrastim-ayow	2022-02
Nypozi	filgrastim-txid	2024-06
Filkri	filgrastim-laha	2026-01	Accofil	Accord Healthcare S.L.U.
			Filgrastim Hexal	Hexal Ag
			Ratiograstim	Ratiopharm Gmbh
			Tevagrastim	Teva Gmbh
			Zefylti	Curateq Biologics S.R.O.
