brand_name	fda_name	fda_approval_date	eu_brand_name	eu_authorisation_holder
Semglee	insulin glargine-yfgn	2021-07	Semglee	Biosimilar Collaborations Ireland Limited
Rezvoglar	insulin glargine-aglr	2021-12	Abasaglar	Eli Lilly Nederland B.V.
