brand_name	fda_name	fda_approval_date	eu_brand_name	eu_authorisation_holder
Bkemv	eculizumab-aeeb	2024-05	Bekemv	Amgen Technology (Ireland) Uc
Epysqli	eculizumab-aagh	2024-07	Epysqli	Samsung Bioepis Nl B.V.
