ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/08/458/001	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)		14 tablets	Trevaclyn
EU/1/08/458/002	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)		28 tablets	Trevaclyn
EU/1/08/458/003	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)		56 tablets	Trevaclyn
EU/1/08/458/004	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)		84 tablets	Trevaclyn
EU/1/08/458/005	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)		98 tablets	Trevaclyn
EU/1/08/458/006	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)		168 tablets	Trevaclyn
EU/1/08/458/007	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)		196 tablets	Trevaclyn
EU/1/08/458/008	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (Aclar/PVC)		49 x 1 tablets (unit dose)	Trevaclyn
EU/1/08/458/009	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (alu/alu)		14 tablets	Trevaclyn
EU/1/08/458/010	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (alu/alu)		28 tablets	Trevaclyn
EU/1/08/458/011	EMEA/H/C/000897	1000 mg / 20 mg	Modified-release tablet	Oral use	blister (alu/alu)		56 tablets	Trevaclyn
