codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
037140011	037140	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
037140023	037140	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
037140035	037140	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
037140047	037140	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
037140050	037140	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
045144033	045144	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
045144045	045144	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
045147030	045147	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
045147042	045147	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
047020019	047020	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
047020021	047020	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
049043019	049043	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
049043021	049043	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
049576010	049576	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
049576022	049576	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
052661016	052661	21139071	bimatoprost 0.3 MG/ML / Timolol 5 MG/ML Ophthalmic Solution [Ganfort]	OMOP272286	EXACT	auto-linked from EMA 000668		2026-06-12
