ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/99/127/011	EMEA/H/C/000281	3 million IU/0.5mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	0.5 mL (6 million IU/mL)	1 vial	IntronA
EU/1/99/127/012	EMEA/H/C/000281	3 million IU/0.5mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	0.5 mL (6 million IU/mL)	1 vial + 1 injection syringe + 1 injection needle + 1 cleansing swab	IntronA
EU/1/99/127/013	EMEA/H/C/000281	3 million IU/0.5mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	0.5 mL (6 million IU/mL)	6 vials + 6 injection syringes + 6 injection needles + 6 cleansing swabs	IntronA
EU/1/99/127/014	EMEA/H/C/000281	3 million IU/0.5mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	0.5 mL (6 million IU/mL)	12 vials + 12 injection syringes + 12 injection needles + 12 cleansing swabs	IntronA
EU/1/99/127/015	EMEA/H/C/000281	5 million IU/0.5mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	0.5 mL (10 million IU/mL)	1 vial	IntronA
EU/1/99/127/016	EMEA/H/C/000281	5 million IU/0.5mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	0.5 mL (10 million IU/mL)	1 vial + 1 injection syringe + 1 injection needle + 1 cleansing swab	IntronA
EU/1/99/127/017	EMEA/H/C/000281	5 million IU/0.5mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	0.5 mL (10 million IU/mL)	6 vials + 6 injection syringes + 6 injection needles + 6 cleansing swabs	IntronA
EU/1/99/127/018	EMEA/H/C/000281	5 million IU/0.5mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	0.5 mL (10 million IU/mL)	12 vials + 12 injection syringes + 12 injection needles + 12 cleansing swabs	IntronA
EU/1/99/127/019	EMEA/H/C/000281	10 million IU/mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	1.0 mL (10 million IU/mL)	1 vial	IntronA
EU/1/99/127/020	EMEA/H/C/000281	10 million IU/mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	1.0 mL (10 million IU/mL)	1 vial + 1 injection syringe + 1 injection needle + 1 cleansing swab	IntronA
EU/1/99/127/021	EMEA/H/C/000281	10 million IU/mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	1.0 mL (10 million IU/mL)	6 vials + 6 injection syringes + 6 injection needles + 6 cleansing swabs	IntronA
EU/1/99/127/022	EMEA/H/C/000281	10 million IU/mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	1.0 mL (10 million IU/mL)	12 vials + 12 injection syringes + 12 injection needles + 12 cleansing swabs	IntronA
EU/1/99/127/023	EMEA/H/C/000281	18 million IU/3mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	3.0 mL (6 million IU/mL)	1 vial	IntronA
EU/1/99/127/024	EMEA/H/C/000281	18 million IU/3mL	Solution for injection/infusion	Intravenous use, Subcutaneous use	vial (glass)	3.0 mL (6 million IU/mL)	1 vial + 6 injection syringes + 6 injection needles + 12 cleansing swabs	IntronA
