ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/06/344/001	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		14 tablets	ACOMPLIA
EU/1/06/344/002	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		28 tablets	ACOMPLIA
EU/1/06/344/003	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		56 tablets	ACOMPLIA
EU/1/06/344/004	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		70 x 1 tablets	ACOMPLIA
EU/1/06/344/005	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		84 tablets	ACOMPLIA
EU/1/06/344/006	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		98 tablets	ACOMPLIA
EU/1/06/344/007	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Bottle (HDPE)		28 tablets	ACOMPLIA
EU/1/06/344/008	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Bottle (HDPE)		98 tablets	ACOMPLIA
EU/1/06/344/009	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Bottle (HDPE)		500 tablets	ACOMPLIA
EU/1/06/344/010	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		30 tablets	ACOMPLIA
EU/1/06/344/011	EMEA/H/C/000666	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		90 tablets	ACOMPLIA
