ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/09/596/001	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		20 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/002	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		30 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/003	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		60 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/004	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		90 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/005	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		100 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/006	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		500 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/007	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Bottle (HDPE)		60 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/008	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		20 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/009	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		30 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/010	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		60 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/011	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		90 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/012	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		100 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/013	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		500 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/014	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Bottle (HDPE)		30 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/015	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		80 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/016	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Blister (PVC/PVdC/alu)		80 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/017	EMEA/H/C/001111	150 mg	Film-coated tablet	Oral use	Bottle (HDPE) with tamper-evident cap		60 tablets	Lamivudine Teva Pharma B.V.
EU/1/09/596/018	EMEA/H/C/001111	300 mg	Film-coated tablet	Oral use	Bottle (HDPE) with tamper-evident cap		30 tablets	Lamivudine Teva Pharma B.V.
