ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/14/930/001	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		7 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/002	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		10 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/003	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		14 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/004	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		28 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/005	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		30 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/006	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		60 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/007	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		70 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/008	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		90 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/009	EMEA/H/C/002677	25 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		100 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/010	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		7 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/011	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		10 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/012	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		14 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/013	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		28 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/014	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		30 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/015	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		60 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/016	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		70 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/017	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		90 x 1 tablets (unit dose)	Jardiance
EU/1/14/930/018	EMEA/H/C/002677	10 mg	Film-coated tablet	Oral use	blister (PVC/Alu)		100 x 1 tablets (unit dose)	Jardiance
