ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/01/184/001	EMEA/H/C/000333	10 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.4 ml (25 µg/ml)	1 pre-filled syringe	Nespo
EU/1/01/184/002	EMEA/H/C/000333	10 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.4 ml (25 µg/ml)	4 pre-filled syringes	Nespo
EU/1/01/184/003	EMEA/H/C/000333	15 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.375 ml (40 µg/ml)	1 pre-filled syringe	Nespo
EU/1/01/184/004	EMEA/H/C/000333	15 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.375 ml (40 µg/ml)	4 pre-filled syringes	Nespo
EU/1/01/184/005	EMEA/H/C/000333	20 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.5 ml (40 µg/ml)	1 pre-filled syringe	Nespo
EU/1/01/184/006	EMEA/H/C/000333	20 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.5 ml (40 µg/ml)	4 pre-filled syringes	Nespo
EU/1/01/184/007	EMEA/H/C/000333	30 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.3 ml (100 µg/ml)	1 pre-filled syringe	Nespo
EU/1/01/184/008	EMEA/H/C/000333	30 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.3 ml (100 µg/ml)	4 pre-filled syringes	Nespo
EU/1/01/184/009	EMEA/H/C/000333	40 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.4 ml (100 µg/ml)	1 pre-filled syringe	Nespo
EU/1/01/184/010	EMEA/H/C/000333	40 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.4 ml (100 µg/ml)	4 pre-filled syringes	Nespo
EU/1/01/184/011	EMEA/H/C/000333	50 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.5 ml (100 µg/ml)	1 pre-filled syringe	Nespo
EU/1/01/184/012	EMEA/H/C/000333	50 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.5 ml (100 µg/ml)	4 pre-filled syringes	Nespo
EU/1/01/184/013	EMEA/H/C/000333	60 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.3 ml (200 µg/ml)	1 pre-filled syringe	Nespo
EU/1/01/184/014	EMEA/H/C/000333	60 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.3 ml (200 µg/ml)	4 pre-filled syringes	Nespo
EU/1/01/184/015	EMEA/H/C/000333	80 µg	Solution for injection	Subcutaneous or intravenous use	pre-filled syringe (glass)	0.4 ml (200 µg/ml)	1 pre-filled syringe	Nespo
