ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/98/086/001	EMEA/H/C/000222	150 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/alu)		28	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/002	EMEA/H/C/000222	150 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/alu)		56	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/003	EMEA/H/C/000222	150 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/alu)		98	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/004	EMEA/H/C/000222	300 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/alu)		28	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/005	EMEA/H/C/000222	300 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/alu)		56	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/006	EMEA/H/C/000222	300 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/alu)		98	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/007	EMEA/H/C/000222	150 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/alu)		14	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/008	EMEA/H/C/000222	300 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/alu)		14	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/009	EMEA/H/C/000222	150 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/aluminium)		56 x 1	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/010	EMEA/H/C/000222	300 mg/12.5 mg	Tablet	Oral use	blister (PVC/PVDC/aluminium)		56 x 1	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/011	EMEA/H/C/000222	150 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		14	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/012	EMEA/H/C/000222	150 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		28	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/013	EMEA/H/C/000222	150 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		56	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/014	EMEA/H/C/000222	150 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		56 x 1	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/015	EMEA/H/C/000222	150 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		98	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
EU/1/98/086/016	EMEA/H/C/000222	300 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		14	coaprovel	CoAprovel	EU/1/98/086	irbesartan;hydrochlorothiazide	irbesartan;hydrochlorothiazide	C09DA04	Sanofi Winthrop Industrie	https://www.ema.europa.eu/en/medicines/human/EPAR/coaprovel	Authorised
