ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/13/891/001	EMEA/H/C/002717	5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		14 tablets	Brintellix
EU/1/13/891/002	EMEA/H/C/002717	5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		28 tablets	Brintellix
EU/1/13/891/003	EMEA/H/C/002717	5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		56 x1 tablet (unit dose)	Brintellix
EU/1/13/891/004	EMEA/H/C/002717	5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		98 x1 tablet (unit dose)	Brintellix
EU/1/13/891/005	EMEA/H/C/002717	5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		490 (5 x 98x1) tablets (unit dose) (multipack)	Brintellix
EU/1/13/891/006	EMEA/H/C/002717	5 mg	Film-coated tablet	Oral use	bottle (HDPE)		100 tablets	Brintellix
EU/1/13/891/007	EMEA/H/C/002717	5 mg	Film-coated tablet	Oral use	bottle (HDPE)		200 tablets	Brintellix
EU/1/13/891/008	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		7 tablets	Brintellix
EU/1/13/891/009	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		14 tablets	Brintellix
EU/1/13/891/010	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		28 tablets	Brintellix
EU/1/13/891/011	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		56 tablets	Brintellix
EU/1/13/891/012	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		98 tablets	Brintellix
EU/1/13/891/013	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		56 x 1 tablet (unit dose)	Brintellix
EU/1/13/891/014	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		98 x 1 tablet (unit dose)	Brintellix
EU/1/13/891/015	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		490 (5 x 98x1) tablets (unit dose) (multipack)	Brintellix
EU/1/13/891/016	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	bottle (HDPE)		100 tablets	Brintellix
EU/1/13/891/017	EMEA/H/C/002717	10 mg	Film-coated tablet	Oral use	bottle (HDPE)		200 tablets	Brintellix
EU/1/13/891/018	EMEA/H/C/002717	15 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		14 tablets	Brintellix
EU/1/13/891/019	EMEA/H/C/002717	15 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		28 tablets	Brintellix
EU/1/13/891/020	EMEA/H/C/002717	15 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		56 tablets	Brintellix
EU/1/13/891/021	EMEA/H/C/002717	15 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		98 tablets	Brintellix
EU/1/13/891/022	EMEA/H/C/002717	15 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		56 x 1 tablet (unit dose)	Brintellix
EU/1/13/891/023	EMEA/H/C/002717	15 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/Alu)		98 x 1 tablet (unit dose)	Brintellix
