atazanavir 200 milligram	atazanavir sulfate 227.79 - 228 milligram
atazanavir 300 milligram	atazanavir sulfate 341.69 - 342 milligram
atazanavir 50 milligram	atazanavir sulfate 56.85 milligram
atipamezole 4.27 - 4.3 milligram	atipamezole hydrochloride 5 milligram
atomoxetine 10 milligram	atomoxetine hydrochloride 11.428 - 11.43 milligram
atomoxetine 100 milligram	atomoxetine hydrochloride 114.27 - 114.6 milligram
atomoxetine 18 milligram	atomoxetine hydrochloride 20.57 - 20.574 milligram
atomoxetine 25 milligram	atomoxetine hydrochloride 28.57 - 28.58 milligram
atomoxetine 4 milligram	atomoxetine hydrochloride 4.6 milligram
atomoxetine 40 milligram	atomoxetine hydrochloride 45.71 - 45.72 milligram
atomoxetine 5 milligram	atomoxetine hydrochloride 5.71 milligram
atomoxetine 60 milligram	atomoxetine hydrochloride 68.56 - 68.58 milligram
atomoxetine 80 milligram	atomoxetine hydrochloride 91.41 - 91.44 milligram
atorvastatin 10 milligram	atorvastatin magnesium trihydrate 10.7 milligram
atorvastatin 10 milligram	atorvastatin calcium isopropanolate 10.363 milligram
atorvastatin 10 milligram	atorvastatin calcium trihydrate 10.34 - 10.9 milligram
atorvastatin 10 milligram	atorvastatin calcium amorphous 10.3 - 20.72 milligram
atorvastatin 10 milligram	atorvastatin calcium 10.363 milligram
atorvastatin 10 milligram	atorvastatin calcium propylene glycol solvate 11 milligram
atorvastatin 20 milligram	atorvastatin calcium propylene glycol solvate 22 milligram
atorvastatin 20 milligram	atorvastatin calcium amorphous 20.68 - 20.725 milligram
atorvastatin 20 milligram	atorvastatin calcium trihydrate 20.68 - 21.7 milligram
atorvastatin 20 milligram	atorvastatin calcium 20.725 milligram
atorvastatin 20 milligram	atorvastatin calcium isopropanolate 20.275 milligram
atorvastatin 20 milligram	atorvastatin magnesium trihydrate 21.4 milligram
atorvastatin 30 milligram	atorvastatin calcium amorphous 31.08 milligram
atorvastatin 30 milligram	atorvastatin calcium trihydrate 31.02 - 32.54 milligram
atorvastatin 40 milligram	atorvastatin calcium 41.45 milligram
atorvastatin 40 milligram	atorvastatin magnesium trihydrate 42.8 milligram
atorvastatin 40 milligram	atorvastatin calcium amorphous 41.36 - 41.45 milligram
atorvastatin 40 milligram	atorvastatin calcium propylene glycol solvate 44 milligram
atorvastatin 40 milligram	atorvastatin calcium trihydrate 41.36 - 43.4 milligram
atorvastatin 40 milligram	atorvastatin calcium isopropanolate 41.45 milligram
atorvastatin 5 milligram	atorvastatin calcium trihydrate 5.425 milligram
atorvastatin 60 milligram	atorvastatin calcium amorphous 62.16 milligram
atorvastatin 60 milligram	atorvastatin calcium trihydrate 62.04 milligram
atorvastatin 80 milligram	atorvastatin calcium 82.9 milligram
atorvastatin 80 milligram	atorvastatin calcium amorphous 82.7 - 82.9 milligram
atorvastatin 80 milligram	atorvastatin calcium trihydrate 82.72 - 86.8 milligram
atorvastatin 80 milligram	atorvastatin calcium isopropanolate 82.9 milligram
atorvastatin 80 milligram	atorvastatin calcium propylene glycol solvate 88 milligram
atosiban 6.75 milligram	atosiban acetate 7.15 milligram
atracurium 7.47 milligram	atracurium besylate 10 milligram
