ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/21/1598/001	EMEA/H/C/005741	25 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	28 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/002	EMEA/H/C/005741	25 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	56 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/003	EMEA/H/C/005741	25 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	98 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/004	EMEA/H/C/005741	25 mg	Film-coated tablet	Oral use	bottle (HDPE)	90 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/005	EMEA/H/C/005741	50 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	28 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/006	EMEA/H/C/005741	50 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	56 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/007	EMEA/H/C/005741	50 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	98 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/008	EMEA/H/C/005741	50 mg	Film-coated tablet	Oral use	bottle (HDPE)	90 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/009	EMEA/H/C/005741	100 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	28 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/010	EMEA/H/C/005741	100 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	56 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/011	EMEA/H/C/005741	100 mg	Film-coated tablet	Oral use	blister (PA/Alu/PE/desiccant/ HDPE/Alu)	98 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
EU/1/21/1598/012	EMEA/H/C/005741	100 mg	Film-coated tablet	Oral use	bottle (HDPE)	90 tablets		sitagliptin-sun	Sitagliptin SUN	EU/1/21/1598	sitagliptin fumarate	sitagliptin fumarate	A10BH01	Sun Pharmaceutical Industries Europe B.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/sitagliptin-sun	Authorised
