product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
07-0201-01	Remodulin 1 mg/ml solution for infusion	07-0201	16-JUL-10	FR/H/0278/001	1 mg/ml	Solution for infusion	20 mg/20 ml	Carton box, Glass vial, N1	1
07-0202-01	Remodulin 2.5 mg/ml solution for infusion	07-0202	16-JUL-10	FR/H/0278/002	2.5 mg/ml	Solution for infusion	50 mg/20 ml	Carton box, Glass vial, N1	1
07-0203-01	Remodulin 5 mg/ml solution for infusion	07-0203	16-JUL-10	FR/H/0278/003	5 mg/ml	Solution for infusion	100 mg/20 ml	Carton box, Glass vial, N1	1
07-0204-01	Remodulin 10 mg/ml solution for infusion	07-0204	16-JUL-10	FR/H/0278/004	10 mg/ml	Solution for infusion	200 mg/20 ml	Carton box, Glass vial, N1	1
I001599-01	Remodulin 5 mg/ml solution for infusion	I001599		I001599-001	5 mg/ml	Solution for infusion	100 mg/20 ml	Carton box, Glass vial, N1	1
