ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/11/723/001	EMEA/H/C/002453	15 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		14 tablets	Pioglitazone Krka
EU/1/11/723/002	EMEA/H/C/002453	15 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		28 tablets	Pioglitazone Krka
EU/1/11/723/003	EMEA/H/C/002453	15 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		30 tablets	Pioglitazone Krka
EU/1/11/723/004	EMEA/H/C/002453	15 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		56 tablets	Pioglitazone Krka
EU/1/11/723/005	EMEA/H/C/002453	15 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		60 tablets	Pioglitazone Krka
EU/1/11/723/006	EMEA/H/C/002453	15 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		90 tablets	Pioglitazone Krka
EU/1/11/723/007	EMEA/H/C/002453	15 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		98 tablets	Pioglitazone Krka
EU/1/11/723/008	EMEA/H/C/002453	30 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		14 tablets	Pioglitazone Krka
EU/1/11/723/009	EMEA/H/C/002453	30 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		28 tablets	Pioglitazone Krka
EU/1/11/723/010	EMEA/H/C/002453	30 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		30 tablets	Pioglitazone Krka
EU/1/11/723/011	EMEA/H/C/002453	30 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		56 tablets	Pioglitazone Krka
EU/1/11/723/012	EMEA/H/C/002453	30 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		60 tablets	Pioglitazone Krka
EU/1/11/723/013	EMEA/H/C/002453	30 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		90 tablets	Pioglitazone Krka
EU/1/11/723/014	EMEA/H/C/002453	30 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		98 tablets	Pioglitazone Krka
EU/1/11/723/015	EMEA/H/C/002453	45 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		14 tablets	Pioglitazone Krka
EU/1/11/723/016	EMEA/H/C/002453	45 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		28 tablets	Pioglitazone Krka
EU/1/11/723/017	EMEA/H/C/002453	45 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		30 tablets	Pioglitazone Krka
EU/1/11/723/018	EMEA/H/C/002453	45 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		56 tablets	Pioglitazone Krka
EU/1/11/723/019	EMEA/H/C/002453	45 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		60 tablets	Pioglitazone Krka
EU/1/11/723/020	EMEA/H/C/002453	45 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		90 tablets	Pioglitazone Krka
EU/1/11/723/021	EMEA/H/C/002453	45 mg	Tablet	Oral use	blister (OPA/alu/PVC/alu)		98 tablets	Pioglitazone Krka
