cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
684852	60769	ROYEN 500 mg CAPSULA DURA	Calcio acetato 500 mg (127 mg Ca) cápsula	500 mg (127 mg Ca)	Blister	120	cápsula	ACETATO CALCIO 500 mg	VÍA ORAL	CÁPSULA DURA	V03AE07 - Calcio acetato	LABORATORIOS RUBIO S.A.	0	0	0
684860	60769	ROYEN 500 mg CAPSULA DURA	Calcio acetato 500 mg (127 mg Ca) cápsula	500 mg (127 mg Ca)	Blister	60	cápsula	ACETATO CALCIO 500 mg	VÍA ORAL	CÁPSULA DURA	V03AE07 - Calcio acetato	LABORATORIOS RUBIO S.A.	0	0	0
841957	62833	ROYEN 2,5 g POLVO PARA SUSPENSIÓN ORAL.	Calcio acetato 2.500 mg (635 mg Ca) solución/suspensión oral sobre	2.500 mg (635 mg Ca)	Sobre	30	sobre	ACETATO CALCIO 2500 mg	VÍA ORAL	POLVO PARA SUSPENSIÓN ORAL	V03AE07 - Calcio acetato	LABORATORIOS RUBIO S.A.	0	0	0
842138	62833	ROYEN 2,5 g POLVO PARA SUSPENSIÓN ORAL.	Calcio acetato 2.500 mg (635 mg Ca) solución/suspensión oral sobre	2.500 mg (635 mg Ca)	Sobre	60	sobre	ACETATO CALCIO 2500 mg	VÍA ORAL	POLVO PARA SUSPENSIÓN ORAL	V03AE07 - Calcio acetato	LABORATORIOS RUBIO S.A.	0	0	0
