ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/10/650/001	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		28 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/002	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		30 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/003	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		50 tablet	Clopidogrel Teva Generics B.V.
EU/1/10/650/004	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		56 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/005	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		84 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/006	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		90 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/007	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		100 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/008	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		28 x 1 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/009	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		28 x 1 tablets (calendar pack)	Clopidogrel Teva Generics B.V.
EU/1/10/650/010	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		30 x 1 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/011	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		50 x 1 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/012	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		56 x 1 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/013	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		84 x 1 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/014	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		90 x 1 tablets	Clopidogrel Teva Generics B.V.
EU/1/10/650/015	EMEA/H/C/002254	75 mg	Film-coated tablet	Oral use	blister (OPA/al/PVC/al)		100 x 1 tablets	Clopidogrel Teva Generics B.V.
