ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/11/695/001	EMEA/H/C/002380	1 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		7 patches	Leganto
EU/1/11/695/003	EMEA/H/C/002380	1 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		28 patches	Leganto
EU/1/11/695/004	EMEA/H/C/002380	1 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		30 patches	Leganto
EU/1/11/695/007	EMEA/H/C/002380	1 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		84 (2 x 42) patches (multipack)	Leganto
EU/1/11/695/010	EMEA/H/C/002380	2 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		7 patches	Leganto
EU/1/11/695/012	EMEA/H/C/002380	2 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		28 patches	Leganto
EU/1/11/695/013	EMEA/H/C/002380	2 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		30 patches	Leganto
EU/1/11/695/016	EMEA/H/C/002380	2 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		84 (2 x 42) patches (multipack)	Leganto
EU/1/11/695/019	EMEA/H/C/002380	3 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		7 patches	Leganto
EU/1/11/695/021	EMEA/H/C/002380	3 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		28 patches	Leganto
EU/1/11/695/022	EMEA/H/C/002380	3 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		30 patches	Leganto
EU/1/11/695/025	EMEA/H/C/002380	3 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		84 (2 x 42) patches (multipack)	Leganto
EU/1/11/695/028	EMEA/H/C/002380	4 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		7 patches	Leganto
EU/1/11/695/030	EMEA/H/C/002380	4 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		28 patches	Leganto
EU/1/11/695/031	EMEA/H/C/002380	4 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		30 patches	Leganto
EU/1/11/695/034	EMEA/H/C/002380	4 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		84 (2 x 42) patches (multipack)	Leganto
EU/1/11/695/037	EMEA/H/C/002380	6 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		7 patches	Leganto
EU/1/11/695/039	EMEA/H/C/002380	6 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		28 patches	Leganto
EU/1/11/695/040	EMEA/H/C/002380	6 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		30 patches	Leganto
EU/1/11/695/043	EMEA/H/C/002380	6 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		84 (2 x 42) patches (multipack)	Leganto
EU/1/11/695/046	EMEA/H/C/002380	8 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		7 patches	Leganto
EU/1/11/695/048	EMEA/H/C/002380	8 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		28 patches	Leganto
EU/1/11/695/049	EMEA/H/C/002380	8 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		30 patches	Leganto
EU/1/11/695/052	EMEA/H/C/002380	8 mg/24 h	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		84 (2 x 42) patches (multipack)	Leganto
EU/1/11/695/055	EMEA/H/C/002380	--	Transdermal patch	Transdermal use	sachet (paper/LDPE/alu/ET copolymer PE/Alu/ET copolymer/paper)		28 patches (7 x 2 mg/24h, 7 x 4 mg/24h, 7 x 6 mg/24h, 7 x 8 mg/24h)	Leganto
