ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/98/096/013	EMEA/H/C/000229	20 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		5 capsules	Temodal
EU/1/98/096/014	EMEA/H/C/000229	20 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		20 capsules	Temodal
EU/1/98/096/015	EMEA/H/C/000229	100 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		5 capsules	Temodal
EU/1/98/096/016	EMEA/H/C/000229	100 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		20 capsules	Temodal
EU/1/98/096/017	EMEA/H/C/000229	140 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		5 capsules	Temodal
EU/1/98/096/018	EMEA/H/C/000229	140 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		20 capsules	Temodal
EU/1/98/096/019	EMEA/H/C/000229	180 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		5 capsules	Temodal
EU/1/98/096/020	EMEA/H/C/000229	180 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		20 capsules	Temodal
EU/1/98/096/021	EMEA/H/C/000229	250 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		5 capsules	Temodal
EU/1/98/096/022	EMEA/H/C/000229	250 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		20 capsules	Temodal
EU/1/98/096/023	EMEA/H/C/000229	2.5 mg/ml	Powder for solution for infusion	Intravenous Use	vial (glass)		1 vial	Temodal
EU/1/98/096/024	EMEA/H/C/000229	5 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		5 capsules	Temodal
EU/1/98/096/025	EMEA/H/C/000229	5 mg	Capsule, hard	Oral use	sachet (LLDPE/alu/PET)		20 capsules	Temodal
