ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/08/442/001	EMEA/H/C/000829	75 mg	Capsule, hard	Oral use	blister (alu/alu)		10 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/002	EMEA/H/C/000829	75 mg	Capsule, hard	Oral use	blister (alu/alu)		30 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/003	EMEA/H/C/000829	75 mg	Capsule, hard	Oral use	blister (alu/alu)		60 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/004	EMEA/H/C/000829	75 mg	Capsule, hard	Oral use	bottle (PP)		60 capsules	Pradaxa
EU/1/08/442/005	EMEA/H/C/000829	110 mg	Capsule, hard	Oral use	blister (alu/alu)		10 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/006	EMEA/H/C/000829	110 mg	Capsule, hard	Oral use	blister (alu/alu)		30 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/007	EMEA/H/C/000829	110 mg	Capsule, hard	Oral use	blister (alu/alu)		60 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/008	EMEA/H/C/000829	110 mg	Capsule, hard	Oral use	bottle (PP)		60 capsules	Pradaxa
EU/1/08/442/009	EMEA/H/C/000829	150 mg	Capsule, hard	Oral use	blister (alu/alu)		10 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/010	EMEA/H/C/000829	150 mg	Capsule, hard	Oral use	blister (alu/alu)		30 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/011	EMEA/H/C/000829	150 mg	Capsule, hard	Oral use	blister (alu/alu)		60 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/012	EMEA/H/C/000829	150 mg	Capsule, hard	Oral use	blister (alu/alu)		180 (3 x 60 x 1) capsules (unit dose) (multipack)	Pradaxa
EU/1/08/442/013	EMEA/H/C/000829	150 mg	Capsule, hard	Oral use	bottle (PP)		60 capsules	Pradaxa
EU/1/08/442/014	EMEA/H/C/000829	110 mg	Capsule, hard	Oral use	blister (alu/alu)		180 (3 x 60 x 1) capsules (unit dose) (multipack)	Pradaxa
EU/1/08/442/015	EMEA/H/C/000829	110 mg	Capsule, hard	Oral use	blister (alu/alu)		100 (2 x 50 x 1) capsules (unit dose) (multipack)	Pradaxa
EU/1/08/442/016	EMEA/H/C/000829	150 mg	Capsule, hard	Oral use	blister (alu/alu)		100 (2 x 50 x 1) capsules (unit dose) (multipack)	Pradaxa
EU/1/08/442/017	EMEA/H/C/000829	75 mg	Capsule, hard	Oral use	white blister (alu/alu)		60 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/018	EMEA/H/C/000829	110 mg	Capsule, hard	Oral use	white blister (alu/alu)		60 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/019	EMEA/H/C/000829	150 mg	Capsule, hard	Oral use	white blister (alu/alu)		60 x 1 capsules (unit dose)	Pradaxa
EU/1/08/442/025	EMEA/H/C/000829	20 mg	Coated granules	Oral use	Sachet (PET/alu/LDPE)		60 sachets	Pradaxa
EU/1/08/442/026	EMEA/H/C/000829	30 mg	Coated granules	Oral use	Sachet (PET/alu/LDPE)		60 sachets	Pradaxa
EU/1/08/442/027	EMEA/H/C/000829	40 mg	Coated granules	Oral use	Sachet (PET/alu/LDPE)		60 sachets	Pradaxa
EU/1/08/442/028	EMEA/H/C/000829	50 mg	Coated granules	Oral use	Sachet (PET/alu/LDPE)		60 sachets	Pradaxa
EU/1/08/442/029	EMEA/H/C/000829	110 mg	Coated granules	Oral use	Sachet (PET/alu/LDPE)		60 sachets	Pradaxa
EU/1/08/442/030	EMEA/H/C/000829	150 mg	Coated granules	Oral use	Sachet (PET/alu/LDPE)		60 sachets	Pradaxa
