authorisationnumber	concept_id	concept_name	concept_code	mapping_typ
26.308	40222665	hydroxyzine hydrochloride 25 MG Oral Tablet [Atarax]	995264	EXACT
26.692	40162856	biperiden hydrochloride 2 MG Oral Tablet [Akineton]	857397	EXACT
27.262	19036623	vitamin K1 10 MG/ML Injectable Solution [Konakion]	207833	
27.523	36249588	glucose / sodium chloride Injection	1794561	EXACT
27.535	35603355	atropine sulfate 1 MG/ML Injection	1668034	EXACT
27535	35603355	atropine sulfate 1 MG/ML Injection	1668034	EXACT
27836	19044167	xylometazoline hydrochloride 1 MG/ML Nasal Spray [Otrivin]	210487	EXACT
28.262	19043750	nystatin 100000 UNT/ML Oral Suspension [Mycostatin]	210339	EXACT
28.410	19041866	bisacodyl 5 MG Delayed Release Oral Tablet [Dulcolax]	209613	EXACT
28.411	19041827	bisacodyl 10 MG Rectal Suppository [Dulcolax]	209601	
28.438	964407	salicylic acid	9525	BROAD
28.727	1119510	dextromethorphan	3289	BROAD
28.994	40163586	biperiden lactate 5 MG/ML Injectable Solution	857399	EXACT
28.996	19040608	carbimazole 5 MG Oral Tablet	199444	EXACT
29.243	19035704	calcium carbonate	1897	BROAD
29008	905224	methoxsalen 10 MG Oral Capsule	197947	EXACT
29406	19019581	perphenazine 8 MG Oral Tablet	198078	EXACT
3.275	734708	phenobarbital 15 MG Oral Tablet	312357	EXACT
31.004	778297	imipramine hydrochloride 25 MG Oral Tablet [Tofranil]	835566	EXACT
31.028	19045906	povidone-iodine 100 MG/ML Topical Solution [Betadine]	211108	EXACT
31.195	19039814	dexchlorpheniramine maleate 2 MG Oral Tablet [Polaramine]	208842	EXACT
31.556	19078106	hydrochlorothiazide 25 MG Oral Tablet	310798	EXACT
31.811	19019044	hydrochlorothiazide 50 MG Oral Tablet	197770	EXACT
32.202	40184730	loperamide hydrochloride 2 MG Oral Tablet	978010	EXACT
32.224	1518259	dexamethasone 1 MG Oral Tablet	197579	EXACT
32.263	19022286	methotrimeprazine 25 MG Oral Tablet	199770	EXACT
"32.726
"	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT
32.728	36249588	glucose / sodium chloride Injection	1794561	BROAD
32.819	1125393	acetaminophen 650 MG Oral Tablet	198444	EXACT
32.864	40163518	warfarin sodium 10 MG Oral Tablet	855296	EXACT
32.899	19034291	methocarbamol 500 MG Oral Tablet [Robaxin]	207016	EXACT
32357	35143248	Codeine Oral Powder	OMOP4800353	BROAD
32729	19067555	methylprednisolone 4 MG Oral Tablet [Medrol]	260330	EXACT
32773	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	
33.488	766530	haloperidol 2 MG/ML Oral Solution	141935	EXACT
33.579	36272051	Penicillin G Intramuscular Solution	OMOP3122926	BROAD
33.580	36272051	Penicillin G Intramuscular Solution	OMOP3122926	BROAD
33.720	1101558	colchicine 1 MG Oral Tablet	245423	EXACT
33214	19018903	cyclophosphamide 50 MG Oral Tablet	197550	EXACT
33323	19007232	busulfan 2 MG Oral Tablet [Myleran]	105551	EXACT
33411	35606511	cyclophosphamide Injection	1734916	BROAD
34.044	36215351	acetaminophen / codeine Oral Product	1155598	BROAD
