ma_number	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/08/491/001	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/002	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/003	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/004	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/005	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/006	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/007	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/008	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/009	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/010	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/011	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/012	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/013	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/014	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/015	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/016	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/017	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/018	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/019	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/020	40226378	aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011710	EXACT			2025-12-04
EU/1/08/491/021	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/022	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/023	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/024	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/025	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/026	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/027	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/028	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/029	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/030	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/031	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/032	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/033	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/034	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/035	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/036	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/037	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/038	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/039	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/040	40226381	aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet	1011713	EXACT			2025-12-04
EU/1/08/491/041	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/042	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/043	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/044	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/045	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/046	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/047	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/048	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/049	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/050	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/051	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/052	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/053	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/054	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/055	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/056	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/057	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/058	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/059	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/060	40226397	aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet	1011750	EXACT			2025-12-04
EU/1/08/491/061	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/062	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/063	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/064	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/065	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/066	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/067	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/068	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/069	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/070	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/071	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/072	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/073	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/074	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/075	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/076	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/077	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/078	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/079	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
EU/1/08/491/080	40226400	aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet	1011753	EXACT			2025-12-04
