ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/11/714/001	EMEA/H/C/002321	250 mg	Tablet	Oral use	bottle	120 tablets		zytiga	Zytiga	EU/1/11/714	abiraterone acetate	abiraterone	L02BX03	Janssen-Cilag International N.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/zytiga	Authorised
EU/1/11/714/002	EMEA/H/C/002321	500 mg	Film-coated tablet	Oral use	PVdC/PE/PVC/alu	blister 56 tablets		zytiga	Zytiga	EU/1/11/714	abiraterone acetate	abiraterone	L02BX03	Janssen-Cilag International N.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/zytiga	Authorised
EU/1/11/714/003	EMEA/H/C/002321	500 mg	Film-coated tablet	Oral use	PVdC/PE/PVC/alu	blister 60 tablets		zytiga	Zytiga	EU/1/11/714	abiraterone acetate	abiraterone	L02BX03	Janssen-Cilag International N.V.	https://www.ema.europa.eu/en/medicines/human/EPAR/zytiga	Authorised
