ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/25/1956/001	EMEA/H/C/006371	12 mg + 24 mg + 30 mg + 36 mg + 42 mg + 48 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		Initiation pack: 42 tablets (7 x 12 mg + 7 x 24 mg + 7 x 30 mg + 7 x 36 mg + 7 x 42 mg + 7 x 48 mg)	Austedo
EU/1/25/1956/002	EMEA/H/C/006371	24 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		28 tablets	Austedo
EU/1/25/1956/003	EMEA/H/C/006371	24 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		84 tablets	Austedo
EU/1/25/1956/004	EMEA/H/C/006371	30 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		28 tablets	Austedo
EU/1/25/1956/005	EMEA/H/C/006371	30 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		84 tablets	Austedo
EU/1/25/1956/006	EMEA/H/C/006371	36 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		28 tablets	Austedo
EU/1/25/1956/007	EMEA/H/C/006371	36 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		84 tablets	Austedo
EU/1/25/1956/008	EMEA/H/C/006371	42 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		28 tablets	Austedo
EU/1/25/1956/009	EMEA/H/C/006371	42 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		84 tablets	Austedo
EU/1/25/1956/010	EMEA/H/C/006371	48 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		28 tablets	Austedo
EU/1/25/1956/011	EMEA/H/C/006371	48 mg	Prolonged-release tablet	Oral use	blister (PVC/PCTFE/PVC/alu)		84 tablets	Austedo
