ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/23/1769/001	EMEA/H/C/005922	75 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	10 capsules		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/002	EMEA/H/C/005922	75 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	10 x 1 capsules (unit dose)		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/003	EMEA/H/C/005922	75 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	30 capsules		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/004	EMEA/H/C/005922	75 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	30 x 1 capsules (unit dose)		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/005	EMEA/H/C/005922	75 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	60 capsules		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/006	EMEA/H/C/005922	75 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	60 x 1 capsules (unit dose)		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/007	EMEA/H/C/005922	110 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	10 capsules		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/008	EMEA/H/C/005922	110 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	10 x 1 capsules (unit dose)		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/009	EMEA/H/C/005922	110 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	30 capsules		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
EU/1/23/1769/010	EMEA/H/C/005922	110 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)	30 x 1 capsules (unit dose)		dabigatran-etexilate-teva	Dabigatran Etexilate Teva	EU/1/23/1769	dabigatran etexilate mesilate	dabigatran etexilate	B01AE07	Teva GmbH	https://www.ema.europa.eu/en/medicines/human/EPAR/dabigatran-etexilate-teva	Authorised
