cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
660867	69746	ESTALIS SEQUIDOT PARCHE TRANSDERMICO	Noretisterona/Estradiol (0/50 microgramos/24 h) + (250/50 microgramos/24 h) parche transdérmico	(0/50 microgramos/24 h) + (250/50 microgramos/24 h)	Bolsa	8	parche	NORETISTERONA ACETATO 0 microgramos/24 h|NORETISTERONA ACETATO 250 microgramos/24 h|ESTRADIOL HEMIHIDRATO 50 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	3	G03FB05 - Noretisterona y estrogeno	BEXAL FARMACEUTICA S.A.	2008-04-18	0	2011-10-06	Suspenso	2024-06-24	1	0	0	0
662442	70576	EVIANA 0,5 mg/0,1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Noretisterona/Estradiol 0,1 mg/0,5 mg comprimido	0,1 mg/0,5 mg	Blister	28	comprimido	NORETISTERONA ACETATO 0,1 mg|ESTRADIOL HEMIHIDRATO 0,5 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	G03FA01 - Noretisterona y estrogeno	ISDIN S.A.	2009-02-23	1	2011-09-01	Autorizado	2009-02-23	1	0	0	0
685818	60706	TRISEQUENS COMPRIMIDOS RECUBIERTOS	Noretisterona/Estradiol (0 mg/2 mg) + (1 mg/2 mg) + (0 mg/1 mg) comprimido	(0 mg/2 mg) + (1 mg/2 mg) + (0 mg/1 mg)	Blister	28	comprimido	NORETISTERONA ACETATO 1 mg|NORETISTERONA ACETATO 0 mg|ESTRADIOL HEMIHIDRATO 2 mg|ESTRADIOL HEMIHIDRATO 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	4	G03FB05 - Noretisterona y estrogeno	ISDIN S.A.	1998-11-01	1	2011-09-01	Autorizado	1998-11-01	1	0	0	0
725069	64718	DUOFEMME COMPRIMIDOS RECUBIERTOS CON PELICULA.	Noretisterona/Estradiol (0 mg/1 mg) + (1 mg/1 mg) comprimido	(0 mg/1 mg) + (1 mg/1 mg)	Disco	28	comprimido	NORETISTERONA ACETATO 1 mg|NORETISTERONA ACETATO 0 mg|ESTRADIOL HEMIHIDRATO 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	G03FB05 - Noretisterona y estrogeno	ISDIN S.A.	2002-04-25	1	2011-05-04	Autorizado	2002-04-25	1	0	0	0
752980	62463	ESTALIS 50 microgramos/250 microgramos/24 HORAS PARCHE TRANSDERMICO	Noretisterona/Estradiol 250 microgramos/24 h + 50 microgramos/24 h parche transdérmico	250 microgramos/24 h + 50 microgramos/24 h	Sobre	8	parche	NORETISTERONA ACETATO 250 microgramos/24 h|ESTRADIOL HEMIHIDRATO 50 microgramos/24 h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	2	G03FA01 - Noretisterona y estrogeno	NOVARTIS FARMACEUTICA S.A.	1999-11-01	0	2022-03-23	Anulado	2022-03-23	1	0	0	0
753285	62465	ACTIVELLE 1 mg/0,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA	Noretisterona/Estradiol 0,5 mg/1 mg comprimido	0,5 mg/1 mg	Blister	28	comprimido	NORETISTERONA ACETATO 0,5 mg|ESTRADIOL HEMIHIDRATO 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	2	G03FA01 - Noretisterona y estrogeno	ISDIN S.A.	1999-06-01	1	2011-05-04	Autorizado	1999-06-01	1	0	0	0
763605	BE156134IP	TRISEQUENS COMPRIMIDOS RECUBIERTOS	Noretisterona/Estradiol (0 mg/2 mg) + (1 mg/2 mg) + (0 mg/1 mg) comprimido	(0 mg/2 mg) + (1 mg/2 mg) + (0 mg/1 mg)	Blister	28	comprimido	NORETISTERONA ACETATO 1 mg|NORETISTERONA ACETATO 0 mg|ESTRADIOL HEMIHIDRATO 2 mg|ESTRADIOL HEMIHIDRATO 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO	4	G03FB05 - Noretisterona y estrogeno	NOVO NORDISK PHARMA	2023-10-17	1	2024-04-26	Autorizado	2023-10-18	1	0	0	0
