ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/06/345/001	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		14 tablets	ZIMULTI
EU/1/06/345/002	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		28 tablets	ZIMULTI
EU/1/06/345/003	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		56 tablets	ZIMULTI
EU/1/06/345/004	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		70 x 1 tablets	ZIMULTI
EU/1/06/345/005	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		84 tablets	ZIMULTI
EU/1/06/345/006	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		98 tablets	ZIMULTI
EU/1/06/345/007	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Bottle (HDPE)		28 tablets	ZIMULTI
EU/1/06/345/008	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Bottle (HDPE)		98 tablets	ZIMULTI
EU/1/06/345/009	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Bottle (HDPE)		500 tablets	ZIMULTI
EU/1/06/345/010	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		30 tablets	ZIMULTI
EU/1/06/345/011	EMEA/H/C/000691	20 mg	Film-coated tablet	Oral use	Blister (PVC/aluminium)		90 tablets	ZIMULTI
