ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/12/773/004	EMEA/H/C/002464	5 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		14 tablets	Jakavi
EU/1/12/773/005	EMEA/H/C/002464	5 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		56 tablets	Jakavi
EU/1/12/773/006	EMEA/H/C/002464	5 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		168 (3x56) tablets (multipack)	Jakavi
EU/1/12/773/007	EMEA/H/C/002464	15 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		14 tablets	Jakavi
EU/1/12/773/008	EMEA/H/C/002464	15 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		56 tablets	Jakavi
EU/1/12/773/009	EMEA/H/C/002464	15 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		168 (3x56) tablets (multipack)	Jakavi
EU/1/12/773/010	EMEA/H/C/002464	20 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		14 tablets	Jakavi
EU/1/12/773/011	EMEA/H/C/002464	20 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		56 tablets	Jakavi
EU/1/12/773/012	EMEA/H/C/002464	20 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		168 (3x56) tablets (multipack)	Jakavi
EU/1/12/773/014	EMEA/H/C/002464	10 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		14 tablets	Jakavi
EU/1/12/773/015	EMEA/H/C/002464	10 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		56 tablets	Jakavi
EU/1/12/773/016	EMEA/H/C/002464	10 mg	Tablet	Oral use	blister (PVC/PE/PVDC/alu)		168 (3x56) tablets (multipack)	Jakavi
EU/1/12/773/017	EMEA/H/C/002464	5 mg/ml	Oral solution	Oral use	bottle (glass)	60 ml	1 bottle + 2 oral syringes + press-in bottle adapter	Jakavi
