ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/21/1540/001	EMEA/H/C/005446	20 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 tablets	Dasatinib Accord
EU/1/21/1540/002	EMEA/H/C/005446	20 mg	Film-coated tablet	Oral use	blister (alu/alu)		60 tablets	Dasatinib Accord
EU/1/21/1540/003	EMEA/H/C/005446	20 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/004	EMEA/H/C/005446	20 mg	Film-coated tablet	Oral use	blister (alu/alu)		60 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/005	EMEA/H/C/005446	50 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 tablets	Dasatinib Accord
EU/1/21/1540/006	EMEA/H/C/005446	50 mg	Film-coated tablet	Oral use	blister (alu/alu)		60 tablets	Dasatinib Accord
EU/1/21/1540/007	EMEA/H/C/005446	50 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/008	EMEA/H/C/005446	50 mg	Film-coated tablet	Oral use	blister (alu/alu)		60 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/009	EMEA/H/C/005446	70 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 tablets	Dasatinib Accord
EU/1/21/1540/010	EMEA/H/C/005446	70 mg	Film-coated tablet	Oral use	blister (alu/alu)		60 tablets	Dasatinib Accord
EU/1/21/1540/011	EMEA/H/C/005446	70 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/012	EMEA/H/C/005446	70 mg	Film-coated tablet	Oral use	blister (alu/alu)		60 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/013	EMEA/H/C/005446	80 mg	Film-coated tablet	Oral use	blister (alu/alu)		30 tablets	Dasatinib Accord
EU/1/21/1540/014	EMEA/H/C/005446	80 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 tablets	Dasatinib Accord
EU/1/21/1540/015	EMEA/H/C/005446	80 mg	Film-coated tablet	Oral use	blister (alu/alu)		30 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/016	EMEA/H/C/005446	80 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/017	EMEA/H/C/005446	100 mg	Film-coated tablet	Oral use	blister (alu/alu)		30 tablets	Dasatinib Accord
EU/1/21/1540/018	EMEA/H/C/005446	100 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 tablets	Dasatinib Accord
EU/1/21/1540/019	EMEA/H/C/005446	100 mg	Film-coated tablet	Oral use	blister (alu/alu)		30 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/020	EMEA/H/C/005446	100 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/021	EMEA/H/C/005446	140 mg	Film-coated tablet	Oral use	blister (alu/alu)		30 tablets	Dasatinib Accord
EU/1/21/1540/022	EMEA/H/C/005446	140 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 tablets	Dasatinib Accord
EU/1/21/1540/023	EMEA/H/C/005446	140 mg	Film-coated tablet	Oral use	blister (alu/alu)		30 x 1 tablets (unit dose)	Dasatinib Accord
EU/1/21/1540/024	EMEA/H/C/005446	140 mg	Film-coated tablet	Oral use	blister (alu/alu)		56 x 1 tablets (unit dose)	Dasatinib Accord
