codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
046994012	046994	1718115	vonicog alfa 1 UNT Injection	1812593	EXACT	auto-linked from EMA 004454		2026-06-12
046994024	046994	1718115	vonicog alfa 1 UNT Injection	1812593	EXACT	auto-linked from EMA 004454		2026-06-12
