codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
039935010	039935	40173628	aztreonam 75 MG/ML Inhalation Solution [Cayston]	901614	EXACT	auto-linked from EMA 000996		2026-06-12
039935034	039935	40173628	aztreonam 75 MG/ML Inhalation Solution [Cayston]	901614	EXACT	auto-linked from EMA 000996		2026-06-12
