ma_number	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/21/1530/001	37499679	{14 (cenobamate 12.5 MG Oral Tablet) / 14 (cenobamate 25 MG Oral Tablet) } Pack	2283523	EXACT	Initiation pack; EU brand Ontozry not in RxNorm (US brand is Xcopri)		2026-02-11
EU/1/21/1530/002	37498003	cenobamate 50 MG Oral Tablet	2265695	EXACT			2025-12-04
EU/1/21/1530/003	37498003	cenobamate 50 MG Oral Tablet	2265695	EXACT			2025-12-04
EU/1/21/1530/004	37498003	cenobamate 50 MG Oral Tablet	2265695	EXACT			2025-12-04
EU/1/21/1530/005	37499125	cenobamate 100 MG Oral Tablet	2283503	EXACT			2025-12-04
EU/1/21/1530/006	37499125	cenobamate 100 MG Oral Tablet	2283503	EXACT			2025-12-04
EU/1/21/1530/007	37499125	cenobamate 100 MG Oral Tablet	2283503	EXACT			2025-12-04
EU/1/21/1530/008	37499129	cenobamate 150 MG Oral Tablet	2283507	EXACT			2025-12-04
EU/1/21/1530/009	37499129	cenobamate 150 MG Oral Tablet	2283507	EXACT			2025-12-04
EU/1/21/1530/010	37499129	cenobamate 150 MG Oral Tablet	2283507	EXACT			2025-12-04
EU/1/21/1530/011	37499133	cenobamate 200 MG Oral Tablet	2283511	EXACT			2025-12-04
EU/1/21/1530/012	37499133	cenobamate 200 MG Oral Tablet	2283511	EXACT			2025-12-04
EU/1/21/1530/013	37499133	cenobamate 200 MG Oral Tablet	2283511	EXACT			2025-12-04
