product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/07/439/001	Mycophenolate mofetil Teva	EU/1/07/439/001	21-FEB-08	EMEA/H/C/000882	250 mg	Capsule, hard	250 mg	Carton box, PVC/PVDC/Al blister, N100	100
EU/1/07/439/002	Mycophenolate mofetil Teva	EU/1/07/439/002	21-FEB-08	EMEA/H/C/000882	250 mg	Capsule, hard	250 mg	Carton box, PVC/PVDC/Al blister, N300	300
EU/1/07/439/003	Mycophenolate mofetil Teva	EU/1/07/439/003	21-FEB-08	EMEA/H/C/000882	500 mg	Film-coated tablet	500 mg	Carton box, PVC/PVDC/Al blister, N50	50
EU/1/07/439/004	Mycophenolate mofetil Teva	EU/1/07/439/004	21-FEB-08	EMEA/H/C/000882	500 mg	Film-coated tablet	500 mg	Carton box, PVC/PVDC/Al blister, N150	150
EU/1/07/439/005	Mycophenolate mofetil Teva	EU/1/07/439/005	21-FEB-08	EMEA/H/C/000882	500 mg	Film-coated tablet	500 mg	Carton box, PVC/PVDC/Al blister, N50	50
EU/1/07/439/006	Mycophenolate mofetil Teva	EU/1/07/439/006	21-FEB-08	EMEA/H/C/000882	250 mg	Capsule, hard	250 mg	Carton box, PVC/PVDC/Al blister, N100	100
