ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/07/394/001	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	1 pre-filled syringe (Luer Cone)	Optaflu
EU/1/07/394/002	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	10 pre-filled syringes (Luer Cone)	Optaflu
EU/1/07/394/003	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	2 x 10 pre-filled syringes (Luer Cone)	Optaflu
EU/1/07/394/004	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	1 pre-filled syringe (Luer Cone) + 1 needle	Optaflu
EU/1/07/394/005	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	10 pre-filled syringes (Luer Cone) + 10 needles	Optaflu
EU/1/07/394/006	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	2 x 10 pre-filled syringes (Luer Cone) + 20 needles	Optaflu
EU/1/07/394/007	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	1 pre-filled syringe (Luer Lock)	Optaflu
EU/1/07/394/008	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	10 pre-filled syringes (Luer Lock)	Optaflu
EU/1/07/394/009	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	2 x 10 pre-filled syringes (Luer Lock)	Optaflu
EU/1/07/394/010	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	1 pre-filled syringe (Luer Lock) + 1 needle	Optaflu
EU/1/07/394/011	EMEA/H/C/000758	--	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	10 pre-filled syringe (Luer Lock) + 10 needles	Optaflu
