codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
045618016	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618028	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618030	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618042	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618055	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618067	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618079	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618081	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618093	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618105	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618117	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
045618129	045618	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
049707019	049707	1592928	ribociclib 200 MG Oral Tablet [Kisqali]	1873989	EXACT	auto-linked from EMA 004213		2026-06-12
