codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
034770014	034770	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
034770026	034770	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042249019	042249	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042249021	042249	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042249033	042249	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042406013	042406	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042406025	042406	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042406037	042406	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042648016	042648	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042648028	042648	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
042648030	042648	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
043204015	043204	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
043204027	043204	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
052016019	052016	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
052016021	052016	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
052016033	052016	938045	brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]	213272	EXACT	auto-linked from EMA 000267		2026-06-12
