cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
603544	71868	FLUOROURACILO ACCORD 50 mg/ml SOLUCION INYECTABLE O PARA PERFUSION EFG	Fluorouracilo 50 mg/ml inyectable 100 ml	50 mg/ml inyectable 100 ml	Vial	1	vial para inyección	FLUOROURACILO 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC02 - Fluorouracilo	ACCORD HEALTHCARE S.L.U.	2010-12-01	1	2011-06-02	Autorizado	2010-12-01	1	0	0	0
667193	71868	FLUOROURACILO ACCORD 50 mg/ml SOLUCION INYECTABLE O PARA PERFUSION EFG	Fluorouracilo 50 mg/ml inyectable 5 ml	50 mg/ml inyectable 5 ml	Vial	1	vial para inyección	FLUOROURACILO 50 mg	VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC02 - Fluorouracilo	ACCORD HEALTHCARE S.L.U.	2010-12-01	1	2011-06-02	Autorizado	2010-12-01	1	0	0	0
727904	84849	TOLAK 40 MG/G CREMA	Fluorouracilo 40 mg/g crema	40 mg/g	Tubo	20	g	FLUOROURACILO 40 mg	USO CUTÁNEO	CREMA	1	L01BC02 - Fluorouracilo	PIERRE FABRE IBERICA S.A.	2020-02-05	1	2022-02-14	Autorizado	2020-02-06	1	0	0	0
