ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/13/825/001	EMEA/H/C/002594	50 mg	Capsule, hard	Oral use	blister (Al/PVC/Aclar)	50 mg	30 capsules	Imatinib Actavis
EU/1/13/825/002	EMEA/H/C/002594	50 mg	Capsule, hard	Oral use	blister (Al/PVC/Aclar)	50 mg	90 capsules	Imatinib Actavis
EU/1/13/825/003	EMEA/H/C/002594	100 mg	Capsule, hard	Oral use	blister (Al/PVC/Aclar)	100 mg	24 capsules	Imatinib Actavis
EU/1/13/825/004	EMEA/H/C/002594	100 mg	Capsule, hard	Oral use	blister (Al/PVC/Aclar)	100 mg	48 capsules	Imatinib Actavis
EU/1/13/825/005	EMEA/H/C/002594	100 mg	Capsule, hard	Oral use	blister (Al/PVC/Aclar)	100 mg	96 capsules	Imatinib Actavis
EU/1/13/825/006	EMEA/H/C/002594	100 mg	Capsule, hard	Oral use	blister (Al/PVC/Aclar)	100 mg	120 capsules	Imatinib Actavis
EU/1/13/825/007	EMEA/H/C/002594	100 mg	Capsule, hard	Oral use	blister (Al/PVC/Aclar)	100 mg	180 capsules	Imatinib Actavis
EU/1/13/825/008	EMEA/H/C/002594	100 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	100 mg	10 tablets	Imatinib Actavis
EU/1/13/825/009	EMEA/H/C/002594	100 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	100 mg	20 tablets	Imatinib Actavis
EU/1/13/825/010	EMEA/H/C/002594	100 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	100 mg	30 tablets	Imatinib Actavis
EU/1/13/825/011	EMEA/H/C/002594	100 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	100 mg	60 tablets	Imatinib Actavis
EU/1/13/825/012	EMEA/H/C/002594	100 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	100 mg	90 tablets	Imatinib Actavis
EU/1/13/825/013	EMEA/H/C/002594	100 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	100 mg	120 tablets	Imatinib Actavis
EU/1/13/825/014	EMEA/H/C/002594	100 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	100 mg	180 tablets	Imatinib Actavis
EU/1/13/825/015	EMEA/H/C/002594	400 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	400 mg	10 tablets	Imatinib Actavis
EU/1/13/825/016	EMEA/H/C/002594	400 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	400 mg	30 tablets	Imatinib Actavis
EU/1/13/825/017	EMEA/H/C/002594	400 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	400 mg	60 tablets	Imatinib Actavis
EU/1/13/825/018	EMEA/H/C/002594	400 mg	Film-coated tablet	Oral use	blister (Al/PVC/Aclar)	400 mg	90 tablets	Imatinib Actavis
EU/1/13/825/019	EMEA/H/C/002594	100 mg	Capsule, hard	Oral use	blister (Al/PVC/Aclar)	100 mg	60 capsules	Imatinib Actavis
EU/1/13/825/020	EMEA/H/C/002594	400 mg	Capsule, hard	Oral use	blister (Al/PVC/PVDC)	400 mg	10 capsules	Imatinib Actavis
EU/1/13/825/021	EMEA/H/C/002594	400 mg	Capsule, hard	Oral use	blister (Al/PVC/PVDC)	400 mg	30 capsules	Imatinib Actavis
EU/1/13/825/022	EMEA/H/C/002594	400 mg	Capsule, hard	Oral use	blister (Al/PVC/PVDC)	400 mg	60 capsules	Imatinib Actavis
EU/1/13/825/023	EMEA/H/C/002594	400 mg	Capsule, hard	Oral use	blister (Al/PVC/PVDC)	400 mg	90 capsules	Imatinib Actavis
