ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/11/735/001	EMEA/H/C/002517	20 mg	Tablet	Oral use	blister (alu/alu)		14 tablets	Ipreziv
EU/1/11/735/002	EMEA/H/C/002517	20 mg	Tablet	Oral use	blister (alu/alu)		28 tablets	Ipreziv
EU/1/11/735/003	EMEA/H/C/002517	20 mg	Tablet	Oral use	blister (alu/alu)		56 tablets	Ipreziv
EU/1/11/735/004	EMEA/H/C/002517	20 mg	Tablet	Oral use	blister (alu/alu)		98 tablets	Ipreziv
EU/1/11/735/005	EMEA/H/C/002517	40 mg	Tablet	Oral use	blister (alu/alu)		14 tablets	Ipreziv
EU/1/11/735/006	EMEA/H/C/002517	40 mg	Tablet	Oral use	blister (alu/alu)		28 tablets	Ipreziv
EU/1/11/735/007	EMEA/H/C/002517	40 mg	Tablet	Oral use	blister (alu/alu)		56 tablets	Ipreziv
EU/1/11/735/008	EMEA/H/C/002517	40 mg	Tablet	Oral use	blister (alu/alu)		98 tablets	Ipreziv
EU/1/11/735/009	EMEA/H/C/002517	80 mg	Tablet	Oral use	blister (alu/alu)		28 tablets	Ipreziv
EU/1/11/735/010	EMEA/H/C/002517	80 mg	Tablet	Oral use	blister (alu/alu)		56 tablets	Ipreziv
EU/1/11/735/011	EMEA/H/C/002517	80 mg	Tablet	Oral use	blister (alu/alu)		98 tablets	Ipreziv
EU/1/11/735/012	EMEA/H/C/002517	20 mg	Tablet	Oral use	blister (alu/alu)		30 tablets	Ipreziv
EU/1/11/735/013	EMEA/H/C/002517	20 mg	Tablet	Oral use	blister (alu/alu)		90 tablets	Ipreziv
EU/1/11/735/014	EMEA/H/C/002517	40 mg	Tablet	Oral use	blister (alu/alu)		30 tablets	Ipreziv
EU/1/11/735/015	EMEA/H/C/002517	40 mg	Tablet	Oral use	blister (alu/alu)		90 tablets	Ipreziv
EU/1/11/735/016	EMEA/H/C/002517	80 mg	Tablet	Oral use	blister (alu/alu)		14 tablets	Ipreziv
EU/1/11/735/017	EMEA/H/C/002517	80 mg	Tablet	Oral use	blister (alu/alu)		30 tablets	Ipreziv
EU/1/11/735/018	EMEA/H/C/002517	80 mg	Tablet	Oral use	blister (alu/alu)		90 tablets	Ipreziv
