ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/16/1124/001	EMEA/H/C/003983	7.5 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.3 ml (25 mg/ml)	1 pre-filled pen + 1 swab	Nordimet
EU/1/16/1124/002	EMEA/H/C/003983	10 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.4 ml (25 mg/ml)	1 pre-filled pen + 1 swab	Nordimet
EU/1/16/1124/003	EMEA/H/C/003983	12.5 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.5 ml (25 mg/ml)	1 pre-filled pen + 1 swab	Nordimet
EU/1/16/1124/004	EMEA/H/C/003983	15 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.6 ml (25 mg/ml)	1 pre-filled pen + 1 swab	Nordimet
EU/1/16/1124/005	EMEA/H/C/003983	17.5 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.7 ml (25 mg/ml)	1 pre-filled pen + 1 swab	Nordimet
EU/1/16/1124/006	EMEA/H/C/003983	20 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.8 ml (25 mg/ml)	1 pre-filled pen + 1 swab	Nordimet
EU/1/16/1124/007	EMEA/H/C/003983	22.5 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.9 ml (25 mg/ml)	1 pre-filled pen + 1 swab	Nordimet
EU/1/16/1124/008	EMEA/H/C/003983	25 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	1 ml (25 mg/ml)	1 pre-filled pen + 1 swab	Nordimet
EU/1/16/1124/009	EMEA/H/C/003983	7.5 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.3 ml (25 mg/ml)	4 (4 x 1) pre-filled pens + 4 (4 x 1) swabs (multipack)	Nordimet
EU/1/16/1124/011	EMEA/H/C/003983	10 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	0.4 ml (25 mg/ml)	4 (4 x 1) pre-filled pens + 4 (4 x 1) swabs (multipack)	Nordimet
