ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/15/1021/001	EMEA/H/C/004277	25 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)		14 capsules	Pregabalin Zentiva
EU/1/15/1021/002	EMEA/H/C/004277	25 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)		21 capsules	Pregabalin Zentiva
EU/1/15/1021/003	EMEA/H/C/004277	25 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)		56 capsules	Pregabalin Zentiva
EU/1/15/1021/004	EMEA/H/C/004277	25 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)		84 capsules	Pregabalin Zentiva
EU/1/15/1021/005	EMEA/H/C/004277	25 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)		100 capsules	Pregabalin Zentiva
EU/1/15/1021/006	EMEA/H/C/004277	50 mg	Capsule, hard	Oral use	blister (PVC/alu)		14 capsules	Pregabalin Zentiva
EU/1/15/1021/007	EMEA/H/C/004277	50 mg	Capsule, hard	Oral use	blister (PVC/alu)		21 capsules	Pregabalin Zentiva
EU/1/15/1021/008	EMEA/H/C/004277	50 mg	Capsule, hard	Oral use	blister (PVC/alu)		56 capsules	Pregabalin Zentiva
EU/1/15/1021/009	EMEA/H/C/004277	50 mg	Capsule, hard	Oral use	blister (PVC/alu)		84 capsules	Pregabalin Zentiva
EU/1/15/1021/010	EMEA/H/C/004277	50 mg	Capsule, hard	Oral use	blister (PVC/alu)		100 capsules	Pregabalin Zentiva
EU/1/15/1021/011	EMEA/H/C/004277	75 mg	Capsule, hard	Oral use	blister (PVC/alu)		14 capsules	Pregabalin Zentiva
EU/1/15/1021/012	EMEA/H/C/004277	75 mg	Capsule, hard	Oral use	blister (PVC/alu)		56 capsules	Pregabalin Zentiva
EU/1/15/1021/013	EMEA/H/C/004277	75 mg	Capsule, hard	Oral use	blister (PVC/alu)		100 capsules	Pregabalin Zentiva
EU/1/15/1021/014	EMEA/H/C/004277	100 mg	Capsule, hard	Oral use	blister (PVC/alu)		21 capsules	Pregabalin Zentiva
EU/1/15/1021/015	EMEA/H/C/004277	100 mg	Capsule, hard	Oral use	blister (PVC/alu)		84 capsules	Pregabalin Zentiva
EU/1/15/1021/016	EMEA/H/C/004277	100 mg	Capsule, hard	Oral use	blister (PVC/alu)		100 capsules	Pregabalin Zentiva
EU/1/15/1021/017	EMEA/H/C/004277	150 mg	Capsule, hard	Oral use	blister (PVC/alu)		14 capsules	Pregabalin Zentiva
EU/1/15/1021/018	EMEA/H/C/004277	150 mg	Capsule, hard	Oral use	blister (PVC/alu)		56 capsules	Pregabalin Zentiva
EU/1/15/1021/019	EMEA/H/C/004277	150 mg	Capsule, hard	Oral use	blister (PVC/alu)		100 capsules	Pregabalin Zentiva
EU/1/15/1021/020	EMEA/H/C/004277	200 mg	Capsule, hard	Oral use	blister (PVC/alu)		21 capsules	Pregabalin Zentiva
EU/1/15/1021/021	EMEA/H/C/004277	200 mg	Capsule, hard	Oral use	blister (PVC/alu)		84 capsules	Pregabalin Zentiva
EU/1/15/1021/022	EMEA/H/C/004277	200 mg	Capsule, hard	Oral use	blister (PVC/alu)		100 capsules	Pregabalin Zentiva
EU/1/15/1021/023	EMEA/H/C/004277	225 mg	Capsule, hard	Oral use	blister (PVC/alu)		14 capsules	Pregabalin Zentiva
EU/1/15/1021/024	EMEA/H/C/004277	225 mg	Capsule, hard	Oral use	blister (PVC/alu)		56 capsules	Pregabalin Zentiva
EU/1/15/1021/025	EMEA/H/C/004277	225 mg	Capsule, hard	Oral use	blister (PVC/alu)		100 capsules	Pregabalin Zentiva
EU/1/15/1021/026	EMEA/H/C/004277	300 mg	Capsule, hard	Oral use	blister (PVC/alu)		14 capsules	Pregabalin Zentiva
EU/1/15/1021/027	EMEA/H/C/004277	300 mg	Capsule, hard	Oral use	blister (PVC/alu)		56 capsules	Pregabalin Zentiva
EU/1/15/1021/028	EMEA/H/C/004277	300 mg	Capsule, hard	Oral use	blister (PVC/alu)		100 capsules	Pregabalin Zentiva
EU/1/15/1021/029	EMEA/H/C/004277	25 mg	Capsule, hard	Oral use	blister (OPA/alu/PVC/alu)		98 capsules	Pregabalin Zentiva
EU/1/15/1021/030	EMEA/H/C/004277	50 mg	Capsule, hard	Oral use	blister (PVC/alu)		98 capsules	Pregabalin Zentiva
EU/1/15/1021/031	EMEA/H/C/004277	75 mg	Capsule, hard	Oral use	blister (PVC/alu)		98 capsules	Pregabalin Zentiva
EU/1/15/1021/032	EMEA/H/C/004277	100 mg	Capsule, hard	Oral use	blister (PVC/alu)		98 capsules	Pregabalin Zentiva
EU/1/15/1021/033	EMEA/H/C/004277	150 mg	Capsule, hard	Oral use	blister (PVC/alu)		98 capsules	Pregabalin Zentiva
EU/1/15/1021/034	EMEA/H/C/004277	200 mg	Capsule, hard	Oral use	blister (PVC/alu)		98 capsules	Pregabalin Zentiva
EU/1/15/1021/035	EMEA/H/C/004277	225 mg	Capsule, hard	Oral use	blister (PVC/alu)		98 capsules	Pregabalin Zentiva
EU/1/15/1021/036	EMEA/H/C/004277	300 mg	Capsule, hard	Oral use	blister (PVC/alu)		98 capsules	Pregabalin Zentiva
