ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/11/682/001	EMEA/H/C/002108	5 mg/ml	Solution for injection	Intravenous use	ampoule (glass)	10 ml	5 ampoules	methylthioninium-chloride-proveblue	Methylthioninium chloride Proveblue	EU/1/11/682	methylthioninium chloride	methylthioninium chloride	V03AB17	Provepharm SAS	https://www.ema.europa.eu/en/medicines/human/EPAR/methylthioninium-chloride-proveblue	Authorised
EU/1/11/682/002	EMEA/H/C/002108	5 mg/ml	Solution for injection	Intravenous use	ampoule (glass)	2 ml	5 ampoules	methylthioninium-chloride-proveblue	Methylthioninium chloride Proveblue	EU/1/11/682	methylthioninium chloride	methylthioninium chloride	V03AB17	Provepharm SAS	https://www.ema.europa.eu/en/medicines/human/EPAR/methylthioninium-chloride-proveblue	Authorised
EU/1/11/682/003	EMEA/H/C/002108	5 mg/ml	Solution for injection	Intravenous use	ampoule (glass)	2 ml	20 ampoules	methylthioninium-chloride-proveblue	Methylthioninium chloride Proveblue	EU/1/11/682	methylthioninium chloride	methylthioninium chloride	V03AB17	Provepharm SAS	https://www.ema.europa.eu/en/medicines/human/EPAR/methylthioninium-chloride-proveblue	Authorised
