ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/11/743/001	EMEA/H/C/002318	0.5 mg	Tablet	Oral use	blister (alu/alu)		30 tablets	Repaglinide Accord
EU/1/11/743/002	EMEA/H/C/002318	0.5 mg	Tablet	Oral use	blister (alu/alu)		90 tablets	Repaglinide Accord
EU/1/11/743/003	EMEA/H/C/002318	0.5 mg	Tablet	Oral use	blister (alu/alu)		120 tablets	Repaglinide Accord
EU/1/11/743/004	EMEA/H/C/002318	0.5 mg	Tablet	Oral use	blister (alu/alu)		270 tablets	Repaglinide Accord
EU/1/11/743/005	EMEA/H/C/002318	0.5 mg	Tablet	Oral use	bottle (HDPE)		100 tablets	Repaglinide Accord
EU/1/11/743/006	EMEA/H/C/002318	1 mg	Tablet	Oral use	blister (alu/alu)		30 tablets	Repaglinide Accord
EU/1/11/743/007	EMEA/H/C/002318	1 mg	Tablet	Oral use	blister (alu/alu)		90 tablets	Repaglinide Accord
EU/1/11/743/008	EMEA/H/C/002318	1 mg	Tablet	Oral use	blister (alu/alu)		120 tablets	Repaglinide Accord
EU/1/11/743/009	EMEA/H/C/002318	1 mg	Tablet	Oral use	blister (alu/alu)		270 tablets	Repaglinide Accord
EU/1/11/743/010	EMEA/H/C/002318	1 mg	Tablet	Oral use	bottle (HDPE)		100 tablets	Repaglinide Accord
EU/1/11/743/011	EMEA/H/C/002318	2 mg	Tablet	Oral use	blister (alu/alu)		30 tablets	Repaglinide Accord
EU/1/11/743/012	EMEA/H/C/002318	2 mg	Tablet	Oral use	blister (alu/alu)		90 tablets	Repaglinide Accord
EU/1/11/743/013	EMEA/H/C/002318	2 mg	Tablet	Oral use	blister (alu/alu)		120 tablets	Repaglinide Accord
EU/1/11/743/014	EMEA/H/C/002318	2 mg	Tablet	Oral use	blister (alu/alu)		270 tablets	Repaglinide Accord
EU/1/11/743/015	EMEA/H/C/002318	2 mg	Tablet	Oral use	bottle (HDPE)		100 tablets	Repaglinide Accord
EU/1/11/743/016	EMEA/H/C/002318	0.5 mg	Tablet	Oral use	blister (alu/alu)		180 tablets	Repaglinide Accord
EU/1/11/743/017	EMEA/H/C/002318	1 mg	Tablet	Oral use	blister (alu/alu)		180 tablets	Repaglinide Accord
EU/1/11/743/018	EMEA/H/C/002318	2 mg	Tablet	Oral use	blister (alu/alu)		180 tablets	Repaglinide Accord
