cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
857094	45173	TULGRASUM CICATRIZANTE	Benzalconio cloruro + aminácidos citratizantes (producto combinado)  apósito	N/A (más de 4 PA)	Sobre	20	apósito	N/A (más de 4 PA) N/A (más de 4 PA)	USO CUTÁNEO	APÓSITO IMPREGNADO	5	D09AA61 - Benzalconio cloruro de, combinaciones con, en aposito	LABORATORIO FARMACEUTICO S.I.T. - SPECIALITA' IGIENICO TERAPEUTICHE S.R.L.	1968-01-01	0	2017-04-12	Anulado	2017-04-12	0	0	0	0
857771	47059	ESTEROFUNDINA DE BALANCE SOLUCION PARA PERFUSION	Soluciones que afectan al equilibrio electrolítico	N/A (más de 4 PA)	Frasco	1	frasco perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	6	B05BB02 - Electrolitos con carbohidratos	B BRAUN MEDICAL S.A.	1969-01-01	0	2019-09-09	Anulado	2019-09-09	1	0	0	0
858126	62981	AMINOVEN 10% SOLUCION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Botella	1	frasco perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	16	B05BA01 - Aminoacidos	FRESENIUS KABI DEUTSCHLAND GMBH	2000-05-25	1	2012-01-02	Autorizado	2000-05-25	1	0	0	0
858159	62981	AMINOVEN 10% SOLUCION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Botella	1	frasco perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	16	B05BA01 - Aminoacidos	FRESENIUS KABI DEUTSCHLAND GMBH	2000-05-25	1	2012-01-02	Autorizado	2000-05-25	1	0	0	0
858399	62982	AMINOVEN  5% SOLUCION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Botella	1	frasco perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	16	B05BA01 - Aminoacidos	FRESENIUS KABI DEUTSCHLAND GMBH	2000-05-25	0	2018-09-05	Anulado	2018-09-05	1	0	0	0
858415	62983	AMINOVEN 15% SOLUCION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Botella	1	frasco perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	SOLUCIÓN PARA PERFUSIÓN	16	B05BA01 - Aminoacidos	FRESENIUS KABI DEUTSCHLAND GMBH	2000-05-25	1	2012-01-02	Autorizado	2000-05-25	1	0	0	0
858514	62985	KABIVEN EMULSION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Bolsa	1	bolsa perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	EMULSIÓN PARA PERFUSIÓN	24	B05BA10 - Combinaciones	FRESENIUS KABI AB	2000-05-22	0	2022-05-10	Autorizado	2000-05-22	1	0	0	0
858654	62985	KABIVEN EMULSION PARA PERFUSION	Soluciones para nutrición parenteral	N/A (más de 4 PA)	Bolsa	1	bolsa perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAVENOSA	EMULSIÓN PARA PERFUSIÓN	24	B05BA10 - Combinaciones	FRESENIUS KABI AB	2000-05-22	1	2011-10-21	Autorizado	2000-05-22	1	0	0	0
858829	63077	PHYSIONEAL 40 GLUCOSA 3,86% P/V / 38,6 mg/ml  SOLUCION PARA DIALISIS PERITONEAL	Soluciones para diálisis peritoneal hipertónicas	N/A (más de 4 PA)	Bolsa	5	bolsa perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAPERITONEAL	SOLUCION PARA DIALISIS PERITONEAL	7	B05DB91 - Glucosa con electrolitos, dialisis peritoneal hipertonica	VANTIVE HEALTH S.L.	2000-05-04	0	2022-01-26	Autorizado	2000-05-04	1	0	0	0
858910	63078	PHYSIONEAL 40 GLUCOSA 1,36% P/V / 13,6 mg/ml SOLUCION PARA DIALISIS PERITONEAL	Soluciones para diálisis peritoneal hipertónicas	N/A (más de 4 PA)	Bolsa	5	bolsa perfusión	N/A (más de 4 PA) N/A (más de 4 PA)	VÍA INTRAPERITONEAL	SOLUCION PARA DIALISIS PERITONEAL	7	B05DB91 - Glucosa con electrolitos, dialisis peritoneal hipertonica	VANTIVE HEALTH S.L.	2000-05-04	0	2022-01-26	Autorizado	2000-05-04	1	0	0	0
