ma_number	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/10/659/001	40174372	ibandronic acid 50 MG Oral Tablet	904946	EXACT			2025-12-04
EU/1/10/659/002	40174372	ibandronic acid 50 MG Oral Tablet	904946	EXACT			2025-12-04
EU/1/10/659/003	46275636	ibandronic acid 1 MG/ML Injection	1659718	BROAD		1 ML ibandronic acid 1 MG/ML Injection	2025-12-04
EU/1/10/659/004	21176028	2 ML Ibandronate 1 MG/ML Injection	OMOP304316	EXACT			2026-03-11
EU/1/10/659/005	43291575	6 ML Ibandronate 1 MG/ML Injection	OMOP562985	EXACT			2026-03-11
EU/1/10/659/006	43291575	6 ML Ibandronate 1 MG/ML Injection	OMOP562985	EXACT			2026-03-11
EU/1/10/659/007	43291575	6 ML Ibandronate 1 MG/ML Injection	OMOP562985	EXACT			2026-03-11
EU/1/10/659/008	40174372	ibandronic acid 50 MG Oral Tablet	904946	EXACT			2025-12-04
EU/1/10/659/009	40174372	ibandronic acid 50 MG Oral Tablet	904946	EXACT			2025-12-04
EU/1/10/659/010	40174372	ibandronic acid 50 MG Oral Tablet	904946	EXACT			2025-12-04
