ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/19/1393/001	EMEA/H/C/004860	300 mg	Powder for concentrate for solution for infusion	Intravenous use	Vial (glass) 10	vials		quofenix	Quofenix	EU/1/19/1393	delafloxacin meglumine	delafloxacin	J01MA23	A. Menarini Industrie Farmaceutiche Riunite s.r.l.	https://www.ema.europa.eu/en/medicines/human/EPAR/quofenix	Authorised
EU/1/19/1393/002	EMEA/H/C/004860	450 mg	Tablet	Oral use	blister (alu/alu) 10	tablets		quofenix	Quofenix	EU/1/19/1393	delafloxacin meglumine	delafloxacin	J01MA23	A. Menarini Industrie Farmaceutiche Riunite s.r.l.	https://www.ema.europa.eu/en/medicines/human/EPAR/quofenix	Authorised
EU/1/19/1393/003	EMEA/H/C/004860	450 mg	Tablet	Oral use	blister (alu/alu) 20	tablets		quofenix	Quofenix	EU/1/19/1393	delafloxacin meglumine	delafloxacin	J01MA23	A. Menarini Industrie Farmaceutiche Riunite s.r.l.	https://www.ema.europa.eu/en/medicines/human/EPAR/quofenix	Authorised
EU/1/19/1393/004	EMEA/H/C/004860	450 mg	Tablet	Oral use	blister (alu/alu) 30	tablets		quofenix	Quofenix	EU/1/19/1393	delafloxacin meglumine	delafloxacin	J01MA23	A. Menarini Industrie Farmaceutiche Riunite s.r.l.	https://www.ema.europa.eu/en/medicines/human/EPAR/quofenix	Authorised
EU/1/19/1393/005	EMEA/H/C/004860	450 mg	Tablet	Oral use	blister (alu/alu) 50	tablets		quofenix	Quofenix	EU/1/19/1393	delafloxacin meglumine	delafloxacin	J01MA23	A. Menarini Industrie Farmaceutiche Riunite s.r.l.	https://www.ema.europa.eu/en/medicines/human/EPAR/quofenix	Authorised
EU/1/19/1393/006	EMEA/H/C/004860	450 mg	Tablet	Oral use	blister (alu/alu) 60	tablets		quofenix	Quofenix	EU/1/19/1393	delafloxacin meglumine	delafloxacin	J01MA23	A. Menarini Industrie Farmaceutiche Riunite s.r.l.	https://www.ema.europa.eu/en/medicines/human/EPAR/quofenix	Authorised
EU/1/19/1393/007	EMEA/H/C/004860	450 mg	Tablet	Oral use	blister (alu/alu) 100	tablets		quofenix	Quofenix	EU/1/19/1393	delafloxacin meglumine	delafloxacin	J01MA23	A. Menarini Industrie Farmaceutiche Riunite s.r.l.	https://www.ema.europa.eu/en/medicines/human/EPAR/quofenix	Authorised
