ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/13/853/001	EMEA/H/C/002576	100 mg	Powder for concentrate for solution for infusion	Intravenous use	vial (glass)		1 vial	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/002	EMEA/H/C/002576	100 mg	Powder for concentrate for solution for infusion	Intravenous use	vial (glass)		2 vials	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/003	EMEA/H/C/002576	100 mg	Powder for concentrate for solution for infusion	Intravenous use	vial (glass)		3 vials	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/004	EMEA/H/C/002576	100 mg	Powder for concentrate for solution for infusion	Intravenous use	vial (glass)		4 vials	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/005	EMEA/H/C/002576	100 mg	Powder for concentrate for solution for infusion	Intravenous use	vial (glass)		5 vials	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/006	EMEA/H/C/002576	120 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (120 mg/ml)	1 pre-filled syringe + 2 alcohol pads	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/007	EMEA/H/C/002576	120 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (120 mg/ml)	2 pre-filled syringes + 2 alcohol pads	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/008	EMEA/H/C/002576	120 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (120 mg/ml)	4 pre-filled syringes + 4 alcohol pads	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/009	EMEA/H/C/002576	120 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) with automatic needle guard	1 ml (120 mg/ml)	1 pre-filled syringe + 2 alcohol pads	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/010	EMEA/H/C/002576	120 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) with automatic needle guard	1 ml (120 mg/ml)	2 pre-filled syringes + 2 alcohol pads	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/011	EMEA/H/C/002576	120 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) with automatic needle guard	1 ml (120 mg/ml)	4 pre-filled syringes + 4 alcohol pads	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/012	EMEA/H/C/002576	120 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	1 ml (120 mg/ml)	1 pre-filled pen + 2 alcohol pads	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
EU/1/13/853/013	EMEA/H/C/002576	120 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	1 ml (120 mg/ml)	2 pre-filled pens + 2 alcohol pads	remsima	Remsima	EU/1/13/853	infliximab	infliximab	L04AB02	Celltrion Healthcare Hungary Kft.	https://www.ema.europa.eu/en/medicines/human/EPAR/remsima	Authorised
