ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/09/595/001	EMEA/H/C/001090	25 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		1 tablet	Sildenafil Actavis
EU/1/09/595/002	EMEA/H/C/001090	25 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		2 tablets	Sildenafil Actavis
EU/1/09/595/003	EMEA/H/C/001090	25 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		4 tablets	Sildenafil Actavis
EU/1/09/595/004	EMEA/H/C/001090	25 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		8 tablets	Sildenafil Actavis
EU/1/09/595/005	EMEA/H/C/001090	25 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		12 tablets	Sildenafil Actavis
EU/1/09/595/006	EMEA/H/C/001090	50 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		1 tablet	Sildenafil Actavis
EU/1/09/595/007	EMEA/H/C/001090	50 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		2 tablets	Sildenafil Actavis
EU/1/09/595/008	EMEA/H/C/001090	50 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		4 tablets	Sildenafil Actavis
EU/1/09/595/009	EMEA/H/C/001090	50 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		8 tablets	Sildenafil Actavis
EU/1/09/595/010	EMEA/H/C/001090	50 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		12 tablets	Sildenafil Actavis
EU/1/09/595/011	EMEA/H/C/001090	100 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		1 tablet	Sildenafil Actavis
EU/1/09/595/012	EMEA/H/C/001090	100 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		2 tablets	Sildenafil Actavis
EU/1/09/595/013	EMEA/H/C/001090	100 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		4 tablets	Sildenafil Actavis
EU/1/09/595/014	EMEA/H/C/001090	100 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		8 tablets	Sildenafil Actavis
EU/1/09/595/015	EMEA/H/C/001090	100 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		12 tablets	Sildenafil Actavis
EU/1/09/595/016	EMEA/H/C/001090	25 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		24 tablets	Sildenafil Actavis
EU/1/09/595/017	EMEA/H/C/001090	50 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		24 tablets	Sildenafil Actavis
EU/1/09/595/018	EMEA/H/C/001090	100 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		24 tablets	Sildenafil Actavis
