ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/98/063/001	EMEA/H/C/000136	22 µg (6 million IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.5 mL (12 million IU/mL)	1 pre-filled syringe	Rebif
EU/1/98/063/002	EMEA/H/C/000136	22 µg (6 million IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.5 mL (12 million IU/mL)	3 pre-filled syringes	Rebif
EU/1/98/063/003	EMEA/H/C/000136	22 µg (6 million IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.5 mL (12 million IU/mL)	12 pre-filled syringes	Rebif
EU/1/98/063/004	EMEA/H/C/000136	44 µg (12 million IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.5 mL (24 million IU/mL)	1 pre-filled syringe	Rebif
EU/1/98/063/005	EMEA/H/C/000136	44 µg (12 million IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.5 mL (24 million IU/mL)	3 pre-filled syringes	Rebif
EU/1/98/063/006	EMEA/H/C/000136	44 µg (12 million IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.5 mL (24 million IU/mL)	12 pre-filled syringes	Rebif
EU/1/98/063/007	EMEA/H/C/000136	8.8 µg (2.4 m IU) + 22 µg (6 m IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.2 mL (12 m IU/mL) + 0.5 mL (12 m IU/mL)	Initiation pack: 6 pre-filled syringes of 8.8 µg + 6 pre-filled syringes of 22 µg	Rebif
EU/1/98/063/008	EMEA/H/C/000136	22 µg/0.5 ml	Solution for injection	Subcutaneous use	cartridge (glass)	1.5 mL (12million IU/mL)	4 cartridges	Rebif
EU/1/98/063/009	EMEA/H/C/000136	44 µg/0.5 ml	Solution for injection	Subcutaneous use	cartridge (glass)	1.5 mL (24million IU/mL)	4 cartridges	Rebif
EU/1/98/063/010	EMEA/H/C/000136	8.8 µg/0.1 ml 22 µg/0.25 ml	Solution for injection	Subcutaneous use	cartridge (glass)	1.5 mL (24 million IU/mL)	Initiation pack: 2 cartridges	Rebif
EU/1/98/063/011	EMEA/H/C/000136	22 µg (6 million IU)	Solution for injection	Subcutaneous use	pre-filled pen	0.5 mL (12 million IU/mL)	1 pre-filled pen	Rebif
EU/1/98/063/012	EMEA/H/C/000136	22 µg (6 million IU)	Solution for injection	Subcutaneous use	pre-filled pen	0.5 mL (12 million IU/mL)	3 pre-filled pens	Rebif
EU/1/98/063/013	EMEA/H/C/000136	22 µg (6 million IU)	Solution for injection	Subcutaneous use	pre-filled pen	0.5 mL (12 million IU/mL)	12 pre-filled pens	Rebif
EU/1/98/063/014	EMEA/H/C/000136	44 µg (12 million IU)	Solution for injection	Subcutaneous use	pre-filled pen	0.5 mL (24 million IU/mL)	1 pre-filled pen	Rebif
EU/1/98/063/015	EMEA/H/C/000136	44 µg (12 million IU)	Solution for injection	Subcutaneous use	pre-filled pen	0.5 mL (24 million IU/mL)	3 pre-filled pens	Rebif
EU/1/98/063/016	EMEA/H/C/000136	44 µg (12 million IU)	Solution for injection	Subcutaneous use	pre-filled pen	0.5 mL (24 million IU/mL)	12 pre-filled pens	Rebif
EU/1/98/063/017	EMEA/H/C/000136	8.8 µg (2.4 m IU) + 22 µg (6 m IU)	Solution for injection	Subcutaneous use	pre-filled pen	0.2 mL (12 m IU/mL) + 0.5 mL (12 m IU/mL)	Initiation pack: 6 pre-filled pens of 8.8 µg + 6 pre-filled pens of 22 µg	Rebif
EU/1/98/063/018	EMEA/H/C/000136	22 µg/0.5 ml	Solution for injection	Subcutaneous use	cartridge (glass)	1.5 mL (12million IU/mL)	12 cartridges	Rebif
EU/1/98/063/019	EMEA/H/C/000136	44 µg/0.5 ml	Solution for injection	Subcutaneous use	cartridge (glass)	1.5 mL (24million IU/mL)	12 cartridges	Rebif
EU/1/98/063/020	EMEA/H/C/000136	22 µg (6 million IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.5 mL (12 million IU/mL)	36 pre-filled syringes	Rebif
EU/1/98/063/021	EMEA/H/C/000136	44 µg (12 million IU)	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	0.5 mL (24 million IU/mL)	36 pre-filled syringes	Rebif
