ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/11/742/001	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		30 x 1 tablet (unit dose)	Efavirenz Teva
EU/1/11/742/002	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		30 tablets	Efavirenz Teva
EU/1/11/742/003	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		90 tablets	Efavirenz Teva
EU/1/11/742/004	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		90 (3 x 30 x 1) tablets (unit dose) (bundle multipack)	Efavirenz Teva
EU/1/11/742/005	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		90 (3 x 30 x 1) tablets (unit dose) (carton multipack)	Efavirenz Teva
EU/1/11/742/006	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (alu/alu)		30 x 1 tablet (unit dose)	Efavirenz Teva
EU/1/11/742/007	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (alu/alu)		30 tablets	Efavirenz Teva
EU/1/11/742/008	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (alu/alu)		90 tablets	Efavirenz Teva
EU/1/11/742/009	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (alu/alu)		90 (3 x 30 x 1) tablets (unit dose) (bundle multipack)	Efavirenz Teva
EU/1/11/742/010	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (alu/alu)		90 (3 x 30 x 1) tablets (unit dose) (carton multipack)	Efavirenz Teva
EU/1/11/742/011	EMEA/H/C/002352	600 mg	Film-coated tablet	Oral use	blister (PVC/PVDC/alu)		90 x 1 tablet (unit dose)	Efavirenz Teva
