ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/09/569/001	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	14 tablets		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/002	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	28 tablets		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/003	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	30 tablets		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/004	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	56 tablets		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/005	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	90 tablets		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/006	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	98 tablets		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/007	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	280 tablets		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/008	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	56 x 1 tablet		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/009	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	98 x 1 tablet		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
EU/1/09/569/010	EMEA/H/C/001068	5 mg/160 mg/12.5 mg	Film-coated tablet	Oral use	blister (PVC/PVDC)	280 x 1 tablet		exforge-hct	Exforge HCT	EU/1/09/569	valsartan;hydrochlorothiazide;amlodipine besilate	amlodipine besilate;valsartan;hydrochlorothiazide	C09DX01	Novartis Europharm Limited	https://www.ema.europa.eu/en/medicines/human/EPAR/exforge-hct	Authorised
