ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/21/1575/001	EMEA/H/C/005316	160 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (160 mg/ml)	1 pre-filled syringe	Bimzelx
EU/1/21/1575/002	EMEA/H/C/005316	160 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (160 mg/ml)	2 pre-filled syringes	Bimzelx
EU/1/21/1575/003	EMEA/H/C/005316	160 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (160 mg/ml)	3 (3 x 1) pre-filled syringes (multipack)	Bimzelx
EU/1/21/1575/004	EMEA/H/C/005316	160 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (160 mg/ml)	4 (2 x 2) pre-filled syringes (multipack)	Bimzelx
EU/1/21/1575/005	EMEA/H/C/005316	160 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	1 ml (160 mg/ml)	1 pre-filled pen	Bimzelx
EU/1/21/1575/006	EMEA/H/C/005316	160 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	1 ml (160 mg/ml)	2 pre-filled pens	Bimzelx
EU/1/21/1575/007	EMEA/H/C/005316	160 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	1 ml (160 mg/ml)	3 (3 x 1) pre-filled pens (multipack)	Bimzelx
EU/1/21/1575/008	EMEA/H/C/005316	160 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	1 ml (160 mg/ml)	4 (2 x 2) pre-filled pens (multipack)	Bimzelx
EU/1/21/1575/009	EMEA/H/C/005316	320 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	2 ml (160 mg/ml)	1 pre-filled syringe	Bimzelx
EU/1/21/1575/010	EMEA/H/C/005316	320 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	2 ml (160 mg/ml)	3 (3 x 1) pre-filled syringes (multipack)	Bimzelx
EU/1/21/1575/011	EMEA/H/C/005316	320 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	2 ml (160 mg/ml)	1 pre-filled pen	Bimzelx
EU/1/21/1575/012	EMEA/H/C/005316	320 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre-filled pen	2 ml (160 mg/ml)	3 (3 x 1) pre-filled pens (multipack)	Bimzelx
